{'tid': 6, 'aid': 7, 'uid': 8, 'tstamp': 1289238901000}
{'tid': 8, 'aid': 8, 'uid': 8, 'tstamp': 1289238545000}
{'tid': 10, 'aid': 9, 'uid': 8, 'tstamp': 1289237833000}
{'tid': 11, 'aid': 10, 'uid': 8, 'tstamp': 1289237730000}
{'tid': 12, 'aid': 11, 'uid': 8, 'tstamp': 1289237522000}
{'tid': 15, 'aid': 14, 'uid': 8, 'tstamp': 1289236740000}
{'tid': 17, 'aid': 14, 'uid': 8, 'tstamp': 1289236740000}
{'tid': 19, 'aid': 15, 'uid': 8, 'tstamp': 1289236319000}
{'tid': 5, 'aid': 16, 'uid': 8, 'tstamp': 1289231754000}
{'tid': 20, 'aid': 17, 'uid': 8, 'tstamp': 1289231615000}
{'tid': 21, 'aid': 18, 'uid': 8, 'tstamp': 1289231533000}
{'tid': 10, 'aid': 22, 'uid': 8, 'tstamp': 1289230744000}
{'tid': 27, 'aid': 24, 'uid': 8, 'tstamp': 1289229826000}
{'tid': 28, 'aid': 25, 'uid': 8, 'tstamp': 1289229561000}
{'tid': 29, 'aid': 26, 'uid': 8, 'tstamp': 1289228999000}
{'tid': 30, 'aid': 27, 'uid': 8, 'tstamp': 1289227893000}
{'tid': 33, 'aid': 30, 'uid': 8, 'tstamp': 1289183525000}
{'tid': 35, 'aid': 32, 'uid': 8, 'tstamp': 1289183292000}
{'tid': 37, 'aid': 34, 'uid': 8, 'tstamp': 1289183011000}
{'tid': 38, 'aid': 35, 'uid': 8, 'tstamp': 1289182931000}
{'tid': 39, 'aid': 36, 'uid': 8, 'tstamp': 1289182797000}
{'tid': 40, 'aid': 37, 'uid': 8, 'tstamp': 1289182702000}
{'tid': 41, 'aid': 38, 'uid': 8, 'tstamp': 1289182632000}
{'tid': 43, 'aid': 42, 'uid': 8, 'tstamp': 1289152872000}
{'tid': 45, 'aid': 44, 'uid': 8, 'tstamp': 1289087716000}
{'tid': 47, 'aid': 46, 'uid': 8, 'tstamp': 1289086859000}
{'tid': 50, 'aid': 48, 'uid': 8, 'tstamp': 1289086553000}
{'tid': 57, 'aid': 52, 'uid': 8, 'tstamp': 1288904866000}
{'tid': 58, 'aid': 53, 'uid': 8, 'tstamp': 1288896397000}
{'tid': 60, 'aid': 53, 'uid': 8, 'tstamp': 1288896397000}
{'tid': 56, 'aid': 59, 'uid': 8, 'tstamp': 1288882469000}
{'tid': 67, 'aid': 60, 'uid': 8, 'tstamp': 1288882432000}
{'tid': 69, 'aid': 62, 'uid': 8, 'tstamp': 1288882262000}
{'tid': 71, 'aid': 64, 'uid': 8, 'tstamp': 1288879685000}
{'tid': 45, 'aid': 68, 'uid': 8, 'tstamp': 1288630690000}
{'tid': 77, 'aid': 68, 'uid': 8, 'tstamp': 1288630690000}
{'tid': 45, 'aid': 72, 'uid': 8, 'tstamp': 1288466318000}
{'tid': 24, 'aid': 73, 'uid': 8, 'tstamp': 1288466059000}
{'tid': 80, 'aid': 73, 'uid': 8, 'tstamp': 1288466059000}
{'tid': 81, 'aid': 74, 'uid': 8, 'tstamp': 1288465963000}
{'tid': 45, 'aid': 75, 'uid': 8, 'tstamp': 1288439177000}
{'tid': 84, 'aid': 75, 'uid': 8, 'tstamp': 1288439177000}
{'tid': 76, 'aid': 76, 'uid': 8, 'tstamp': 1288403733000}
{'tid': 76, 'aid': 78, 'uid': 8, 'tstamp': 1288400590000}
{'tid': 87, 'aid': 78, 'uid': 8, 'tstamp': 1288400590000}
{'tid': 89, 'aid': 79, 'uid': 8, 'tstamp': 1288399242000}
{'tid': 92, 'aid': 79, 'uid': 8, 'tstamp': 1288399242000}
{'tid': 45, 'aid': 80, 'uid': 8, 'tstamp': 1288398907000}
{'tid': 94, 'aid': 80, 'uid': 8, 'tstamp': 1288398907000}
{'tid': 96, 'aid': 81, 'uid': 8, 'tstamp': 1288397340000}
{'tid': 98, 'aid': 82, 'uid': 8, 'tstamp': 1288397158000}
{'tid': 100, 'aid': 82, 'uid': 8, 'tstamp': 1288397158000}
{'tid': 101, 'aid': 83, 'uid': 8, 'tstamp': 1288397039000}
{'tid': 103, 'aid': 84, 'uid': 8, 'tstamp': 1288396895000}
{'tid': 105, 'aid': 85, 'uid': 8, 'tstamp': 1288388235000}
{'tid': 25, 'aid': 87, 'uid': 8, 'tstamp': 1288387535000}
{'tid': 108, 'aid': 87, 'uid': 8, 'tstamp': 1288387535000}
{'tid': 25, 'aid': 88, 'uid': 8, 'tstamp': 1288387282000}
{'tid': 82, 'aid': 88, 'uid': 8, 'tstamp': 1288387282000}
{'tid': 82, 'aid': 89, 'uid': 8, 'tstamp': 1288373335000}
{'tid': 24, 'aid': 90, 'uid': 8, 'tstamp': 1288372199000}
{'tid': 24, 'aid': 92, 'uid': 8, 'tstamp': 1288372035000}
{'tid': 25, 'aid': 93, 'uid': 8, 'tstamp': 1288371236000}
{'tid': 111, 'aid': 96, 'uid': 8, 'tstamp': 1288368924000}
{'tid': 113, 'aid': 99, 'uid': 8, 'tstamp': 1288291694000}
{'tid': 120, 'aid': 103, 'uid': 32, 'tstamp': 1285500227000}
{'tid': 123, 'aid': 103, 'uid': 32, 'tstamp': 1285500227000}
{'tid': 126, 'aid': 105, 'uid': 32, 'tstamp': 1284640114000}
{'tid': 101, 'aid': 106, 'uid': 32, 'tstamp': 1284518274000}
{'tid': 128, 'aid': 106, 'uid': 32, 'tstamp': 1284518274000}
{'tid': 131, 'aid': 109, 'uid': 32, 'tstamp': 1282736740000}
{'tid': 117, 'aid': 111, 'uid': 32, 'tstamp': 1282489620000}
{'tid': 136, 'aid': 111, 'uid': 32, 'tstamp': 1282489620000}
{'tid': 115, 'aid': 112, 'uid': 32, 'tstamp': 1282312142000}
{'tid': 132, 'aid': 112, 'uid': 32, 'tstamp': 1282312142000}
{'tid': 115, 'aid': 113, 'uid': 32, 'tstamp': 1282291068000}
{'tid': 139, 'aid': 113, 'uid': 32, 'tstamp': 1282291068000}
{'tid': 148, 'aid': 124, 'uid': 57, 'tstamp': 1289209447000}
{'tid': 149, 'aid': 125, 'uid': 57, 'tstamp': 1289199351000}
{'tid': 151, 'aid': 126, 'uid': 57, 'tstamp': 1289154448000}
{'tid': 141, 'aid': 135, 'uid': 57, 'tstamp': 1289046564000}
{'tid': 150, 'aid': 138, 'uid': 57, 'tstamp': 1289031413000}
{'tid': 149, 'aid': 140, 'uid': 57, 'tstamp': 1289030025000}
{'tid': 157, 'aid': 155, 'uid': 57, 'tstamp': 1288940927000}
{'tid': 160, 'aid': 157, 'uid': 57, 'tstamp': 1288894521000}
{'tid': 153, 'aid': 166, 'uid': 57, 'tstamp': 1288886157000}
{'tid': 163, 'aid': 167, 'uid': 57, 'tstamp': 1288877686000}
{'tid': 152, 'aid': 170, 'uid': 57, 'tstamp': 1288850000000}
{'tid': 166, 'aid': 175, 'uid': 57, 'tstamp': 1288809528000}
{'tid': 168, 'aid': 183, 'uid': 57, 'tstamp': 1288795396000}
{'tid': 168, 'aid': 184, 'uid': 57, 'tstamp': 1288795324000}
{'tid': 170, 'aid': 189, 'uid': 57, 'tstamp': 1288719497000}
{'tid': 171, 'aid': 192, 'uid': 57, 'tstamp': 1288615638000}
{'tid': 171, 'aid': 197, 'uid': 57, 'tstamp': 1288446780000}
{'tid': 153, 'aid': 206, 'uid': 57, 'tstamp': 1288285284000}
{'tid': 141, 'aid': 211, 'uid': 57, 'tstamp': 1288267939000}
{'tid': 144, 'aid': 211, 'uid': 57, 'tstamp': 1288267939000}
{'tid': 173, 'aid': 212, 'uid': 147, 'tstamp': 1289310758000}
{'tid': 175, 'aid': 212, 'uid': 147, 'tstamp': 1289310758000}
{'tid': 177, 'aid': 212, 'uid': 147, 'tstamp': 1289310758000}
{'tid': 180, 'aid': 213, 'uid': 147, 'tstamp': 1289307073000}
{'tid': 184, 'aid': 215, 'uid': 147, 'tstamp': 1289306875000}
{'tid': 187, 'aid': 215, 'uid': 147, 'tstamp': 1289306875000}
{'tid': 191, 'aid': 217, 'uid': 147, 'tstamp': 1289306805000}
{'tid': 196, 'aid': 218, 'uid': 147, 'tstamp': 1289306651000}
{'tid': 198, 'aid': 219, 'uid': 147, 'tstamp': 1289306581000}
{'tid': 203, 'aid': 221, 'uid': 147, 'tstamp': 1289269958000}
{'tid': 205, 'aid': 221, 'uid': 147, 'tstamp': 1289269958000}
{'tid': 207, 'aid': 221, 'uid': 147, 'tstamp': 1289269958000}
{'tid': 210, 'aid': 222, 'uid': 147, 'tstamp': 1289269797000}
{'tid': 212, 'aid': 222, 'uid': 147, 'tstamp': 1289269797000}
{'tid': 214, 'aid': 224, 'uid': 147, 'tstamp': 1289221854000}
{'tid': 216, 'aid': 224, 'uid': 147, 'tstamp': 1289221854000}
{'tid': 218, 'aid': 225, 'uid': 147, 'tstamp': 1289221765000}
{'tid': 222, 'aid': 226, 'uid': 147, 'tstamp': 1289220579000}
{'tid': 224, 'aid': 226, 'uid': 147, 'tstamp': 1289220579000}
{'tid': 225, 'aid': 227, 'uid': 147, 'tstamp': 1289220479000}
{'tid': 229, 'aid': 228, 'uid': 147, 'tstamp': 1289220159000}
{'tid': 233, 'aid': 230, 'uid': 147, 'tstamp': 1289135812000}
{'tid': 176, 'aid': 231, 'uid': 147, 'tstamp': 1289096230000}
{'tid': 13, 'aid': 232, 'uid': 147, 'tstamp': 1289095944000}
{'tid': 95, 'aid': 233, 'uid': 147, 'tstamp': 1289095849000}
{'tid': 236, 'aid': 233, 'uid': 147, 'tstamp': 1289095849000}
{'tid': 238, 'aid': 234, 'uid': 147, 'tstamp': 1289045864000}
{'tid': 239, 'aid': 235, 'uid': 147, 'tstamp': 1289012763000}
{'tid': 241, 'aid': 235, 'uid': 147, 'tstamp': 1289012763000}
{'tid': 244, 'aid': 236, 'uid': 147, 'tstamp': 1289009522000}
{'tid': 69, 'aid': 237, 'uid': 147, 'tstamp': 1288959111000}
{'tid': 212, 'aid': 237, 'uid': 147, 'tstamp': 1288959111000}
{'tid': 247, 'aid': 237, 'uid': 147, 'tstamp': 1288959111000}
{'tid': 254, 'aid': 240, 'uid': 147, 'tstamp': 1288957254000}
{'tid': 256, 'aid': 240, 'uid': 147, 'tstamp': 1288957254000}
{'tid': 257, 'aid': 241, 'uid': 147, 'tstamp': 1288956794000}
{'tid': 259, 'aid': 242, 'uid': 147, 'tstamp': 1288956404000}
{'tid': 261, 'aid': 242, 'uid': 147, 'tstamp': 1288956404000}
{'tid': 264, 'aid': 243, 'uid': 147, 'tstamp': 1288921863000}
{'tid': 267, 'aid': 243, 'uid': 147, 'tstamp': 1288921863000}
{'tid': 253, 'aid': 244, 'uid': 147, 'tstamp': 1288859414000}
{'tid': 270, 'aid': 244, 'uid': 147, 'tstamp': 1288859414000}
{'tid': 267, 'aid': 245, 'uid': 147, 'tstamp': 1288858089000}
{'tid': 273, 'aid': 245, 'uid': 147, 'tstamp': 1288858089000}
{'tid': 276, 'aid': 245, 'uid': 147, 'tstamp': 1288858089000}
{'tid': 258, 'aid': 246, 'uid': 147, 'tstamp': 1288858014000}
{'tid': 279, 'aid': 247, 'uid': 147, 'tstamp': 1288857817000}
{'tid': 281, 'aid': 247, 'uid': 147, 'tstamp': 1288857817000}
{'tid': 283, 'aid': 247, 'uid': 147, 'tstamp': 1288857817000}
{'tid': 288, 'aid': 249, 'uid': 147, 'tstamp': 1288857616000}
{'tid': 291, 'aid': 249, 'uid': 147, 'tstamp': 1288857616000}
{'tid': 293, 'aid': 250, 'uid': 147, 'tstamp': 1288857593000}
{'tid': 294, 'aid': 251, 'uid': 147, 'tstamp': 1288857510000}
{'tid': 296, 'aid': 251, 'uid': 147, 'tstamp': 1288857510000}
{'tid': 237, 'aid': 253, 'uid': 147, 'tstamp': 1288857398000}
{'tid': 300, 'aid': 253, 'uid': 147, 'tstamp': 1288857398000}
{'tid': 301, 'aid': 254, 'uid': 147, 'tstamp': 1288857351000}
{'tid': 303, 'aid': 254, 'uid': 147, 'tstamp': 1288857351000}
{'tid': 305, 'aid': 254, 'uid': 147, 'tstamp': 1288857351000}
{'tid': 306, 'aid': 255, 'uid': 147, 'tstamp': 1288857309000}
{'tid': 308, 'aid': 256, 'uid': 147, 'tstamp': 1288857201000}
{'tid': 310, 'aid': 257, 'uid': 147, 'tstamp': 1288857156000}
{'tid': 311, 'aid': 258, 'uid': 147, 'tstamp': 1288720323000}
{'tid': 313, 'aid': 258, 'uid': 147, 'tstamp': 1288720323000}
{'tid': 315, 'aid': 258, 'uid': 147, 'tstamp': 1288720323000}
{'tid': 317, 'aid': 259, 'uid': 147, 'tstamp': 1288718426000}
{'tid': 319, 'aid': 259, 'uid': 147, 'tstamp': 1288718426000}
{'tid': 268, 'aid': 260, 'uid': 147, 'tstamp': 1288696960000}
{'tid': 322, 'aid': 260, 'uid': 147, 'tstamp': 1288696960000}
{'tid': 226, 'aid': 262, 'uid': 147, 'tstamp': 1288616014000}
{'tid': 329, 'aid': 262, 'uid': 147, 'tstamp': 1288616014000}
{'tid': 202, 'aid': 263, 'uid': 147, 'tstamp': 1288615915000}
{'tid': 331, 'aid': 263, 'uid': 147, 'tstamp': 1288615915000}
{'tid': 253, 'aid': 265, 'uid': 147, 'tstamp': 1288615423000}
{'tid': 333, 'aid': 265, 'uid': 147, 'tstamp': 1288615423000}
{'tid': 337, 'aid': 266, 'uid': 147, 'tstamp': 1288614887000}
{'tid': 82, 'aid': 267, 'uid': 147, 'tstamp': 1288613852000}
{'tid': 268, 'aid': 267, 'uid': 147, 'tstamp': 1288613852000}
{'tid': 340, 'aid': 268, 'uid': 147, 'tstamp': 1288393991000}
{'tid': 342, 'aid': 269, 'uid': 147, 'tstamp': 1288364831000}
{'tid': 344, 'aid': 269, 'uid': 147, 'tstamp': 1288364831000}
{'tid': 345, 'aid': 270, 'uid': 147, 'tstamp': 1288351834000}
{'tid': 347, 'aid': 270, 'uid': 147, 'tstamp': 1288351834000}
{'tid': 349, 'aid': 271, 'uid': 147, 'tstamp': 1288347456000}
{'tid': 231, 'aid': 272, 'uid': 147, 'tstamp': 1288347322000}
{'tid': 351, 'aid': 272, 'uid': 147, 'tstamp': 1288347322000}
{'tid': 353, 'aid': 272, 'uid': 147, 'tstamp': 1288347322000}
