index	armId
0	52
1	63
2	73
3	94
4	96
5	995
6	3894
7	6160
8	6177
9	9322
10	101
11	102
12	106
13	108
14	122
15	128
16	130
17	134
18	137
19	51
20	53
21	64
22	70
23	72
24	80
25	99
26	151
27	152
28	153
29	154
30	156
31	157
32	162
33	163
34	164
35	165
36	167
37	170
38	171
39	173
40	174
41	175
42	180
43	181
44	183
45	184
46	185
47	188
48	192
49	193
50	217
51	463
52	467
53	632
54	706
55	726
56	918
57	920
58	1009
59	1248
60	1295
61	1385
62	1713
63	1745
64	1810
65	1824
66	1870
67	1873
68	1917
69	2370
70	2961
71	3416
72	3863
73	3988
74	8266
75	8512
76	182
77	190
78	195
79	197
80	200
81	202
82	215
83	216
84	222
85	232
86	233
87	236
88	447
89	618
90	733
91	862
92	863
93	951
94	1123
95	1239
96	1383
97	2786
98	3203
99	3430
100	3691
101	3749
102	4079
103	4114
104	8722
105	10610
106	12726
107	13714
108	243
109	244
110	712
111	2911
112	55
113	288
114	291
115	334
116	335
117	345
118	348
119	357
120	14103
121	8
122	209
123	221
124	229
125	258
126	370
127	371
128	372
129	373
130	374
131	375
132	376
133	377
134	379
135	382
136	384
137	387
138	390
139	391
140	392
141	394
142	395
143	396
144	397
145	398
146	401
147	402
148	403
149	405
150	406
151	410
152	414
153	415
154	481
155	486
156	488
157	490
158	493
159	504
160	517
161	518
162	701
163	955
164	966
165	1126
166	1131
167	1194
168	1375
169	1378
170	1475
171	1519
172	1602
173	1795
174	1814
175	1874
176	1901
177	1912
178	1922
179	1923
180	1933
181	2050
182	2051
183	2102
184	2369
185	2457
186	2544
187	2546
188	2941
189	3302
190	3351
191	3427
192	3429
193	3498
194	3563
195	3929
196	3946
197	4179
198	4321
199	4332
200	4342
201	4980
202	4987
203	5073
204	5080
205	5084
206	5087
207	5091
208	5332
209	5571
210	5573
211	5731
212	6730
213	8396
214	8404
215	9556
216	10603
217	11049
218	12702
219	13785
220	16163
221	196
222	199
223	208
224	211
225	416
226	418
227	428
228	430
229	431
230	440
231	1377
232	3258
233	89
234	230
235	234
236	257
237	326
238	455
239	456
240	458
241	468
242	469
243	471
244	482
245	540
246	1450
247	1580
248	2179
249	3576
250	10074
251	15941
252	17436
253	16
254	17
255	18
256	36
257	45
258	56
259	58
260	67
261	71
262	88
263	159
264	189
265	191
266	198
267	227
268	237
269	238
270	278
271	289
272	299
273	300
274	302
275	306
276	318
277	320
278	325
279	327
280	331
281	333
282	344
283	349
284	378
285	407
286	412
287	423
288	436
289	464
290	466
291	474
292	475
293	484
294	487
295	489
296	491
297	492
298	494
299	495
300	496
301	497
302	498
303	499
304	500
305	501
306	502
307	503
308	505
309	506
310	507
311	508
312	509
313	510
314	511
315	512
316	513
317	514
318	515
319	516
320	519
321	520
322	521
323	522
324	523
325	536
326	537
327	538
328	544
329	547
330	691
331	704
332	707
333	759
334	785
335	808
336	815
337	855
338	872
339	883
340	930
341	967
342	972
343	978
344	991
345	1034
346	1042
347	1044
348	1055
349	1098
350	1104
351	1118
352	1132
353	1145
354	1151
355	1179
356	1181
