
New Run at  08/21/2015 21:55:01
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1289255362000,0;0;0;0
data,1289255159000,0;0;0;0
data,1289238901000,0;0;0;0
data,1289238545000,0;0;0;0
data,1289237833000,0;0;0;0
data,1289237730000,0;0;0;0
data,1289237522000,0;0;0;0
data,1289236740000,0;0;0;0
data,1289236319000,0;0;0;0
data,1289231754000,0;0;0;0
data,1289231615000,0;0;0;0
data,1289231533000,0;0;0;0
data,1289231262000,0;0;0;0
data,1289231212000,0;0;0;0
data,1289230744000,0;0;0;0
data,1289229826000,0;0;0;0
data,1289229561000,0;0;0;0
data,1289228999000,0;0;0;0
data,1289227893000,0;0;0;0
data,1289183525000,0;0;0;0
data,1289183292000,0;0;0;0
data,1289183129000,1;0;0;0
data,1289183011000,1;0;0;0
data,1289182931000,1;0;0;0
data,1289182797000,1;0;0;0
data,1289182702000,1;0;0;0
data,1289182632000,1;0;0;0
data,1289153999000,1;0;0;0
data,1289152872000,1;0;0;0
data,1289152789000,1;0;0;0
data,1289087716000,1;0;0;0
data,1289086944000,1;0;0;0
data,1289086859000,1;0;0;0
data,1289086553000,1;0;0;0
