
New Run at  09/20/2015 17:54:02
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1274441569000,2;4;0;5
data,1281614173000,3;5;0;6
data,1282701427000,6;5;0;6
data,1279136523000,9;8;0;8
data,1288517914000,10;11;1;12
data,1288599864000,11;14;1;15
data,1288551109000,15;17;1;17
data,1282165049000,15;19;1;20
data,1288957254000,18;20;1;21
data,1279545848000,23;25;1;24
data,1284783331000,25;28;1;27
data,1284301963000,29;32;1;30
data,1267186834000,30;34;1;31
data,1280351207000,35;35;1;31
data,1285239123000,39;38;1;32
data,1286084910000,40;42;1;34
data,1266842687000,44;45;1;36
data,1174079479000,46;46;1;37
data,1289277726000,47;48;1;38
data,1284731231000,50;50;1;40
data,1181820498000,54;50;1;40
data,1182414438000,55;51;1;41
data,1288503650000,58;53;1;44
data,1253683977000,60;54;1;44
data,1248803534000,61;57;1;44
data,1281525113000,62;59;1;47
data,1287558208000,63;61;1;48
data,1205886952000,66;62;1;49
data,1155509348000,68;65;1;53
data,1288453352000,70;69;1;57
data,1259151731000,71;70;2;58
data,1282040011000,71;72;2;60
data,1288405048000,73;74;2;62
data,1285817043000,74;76;2;65
data,1252368494000,75;77;2;66
data,1200694870000,79;82;2;68
data,1282174368000,81;82;2;69
data,1196780558000,82;84;2;74
data,1289196636000,84;85;2;76
data,1254666245000,85;88;2;78
data,1281263391000,88;94;2;82
data,1286878406000,90;97;2;85
data,1268916064000,93;99;2;87
data,1286061989000,93;101;2;89
data,1284739132000,96;102;2;90
data,1281523989000,96;105;2;93
data,1289209653000,98;105;2;96
data,1282901598000,100;109;2;101
data,1284723906000,102;110;2;102
data,1263820053000,102;111;2;104
data,1287665308000,105;114;2;107
data,1288777545000,105;116;2;108
data,1288943830000,109;117;2;110
data,1286865694000,110;119;2;113
data,1274429571000,116;119;2;115
data,1282750426000,118;122;2;118
data,1282441353000,118;123;2;119
data,1263933278000,119;127;2;121
data,1287412940000,124;128;2;122
data,1216595757000,126;129;2;122
data,1246324106000,128;132;2;122
data,1204793197000,131;133;2;125
data,1242723441000,135;133;2;125
data,1282574770000,136;137;2;128
data,1280280475000,140;138;2;130
data,1288828645000,141;138;2;131
data,1288505674000,145;142;2;134
data,1253627487000,149;146;2;137
data,1282694054000,150;149;2;141
data,1274696075000,153;152;2;145
data,1287168464000,155;156;2;146
data,1283976352000,156;160;2;149
data,1286635001000,156;163;2;153
data,1281553085000,158;166;2;156
data,1263915677000,160;167;2;160
data,1279808868000,161;168;2;160
data,1285914791000,162;169;2;161
data,1288784437000,164;174;2;165
data,1286518616000,165;177;2;166
data,1241213514000,168;181;2;169
data,1272827672000,171;185;2;172
data,1244926935000,172;188;2;174
data,1281078987000,174;193;2;177
data,1289172007000,175;196;2;181
data,1287011362000,180;199;2;185
