
New Run at  08/21/2015 22:16:28
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1264978800000,0;0;0;0
data,1243807200000,0;1;1;1
data,1220220000000,0;1;1;1
data,1280613600000,0;2;2;2
data,1280613600000,1;2;2;2
data,1288566000000,7;4;5;5
data,1298934000000,8;6;7;7
data,1288566000000,8;10;11;11
data,1214863200000,16;31;28;30
data,1285884000000,16;34;31;33
data,1304596463289,17;36;33;35
data,1275343200000,22;42;38;41
data,1238536800000,24;55;46;51
data,1288566000000,25;59;48;53
data,1296514800000,25;59;48;53
data,1209592800000,26;59;49;55
data,1264978800000,26;59;49;55
data,1264978800000,26;62;51;58
data,1277935200000,27;63;51;60
data,1214863200000,28;65;53;62
data,1246399200000,31;89;73;85
data,1209592800000,31;102;83;95
data,1280613600000,31;104;84;96
data,1222812000000,32;114;92;105
data,1175378400000,33;116;93;107
data,1201820400000,34;124;100;114
data,1214863200000,38;147;115;133
data,1288566000000,39;151;119;137
data,1298934000000,40;165;127;145
data,1288566000000,45;175;134;152
data,1298934000000,48;192;150;164
data,1193871600000,62;285;238;244
data,1209592800000,63;290;243;249
data,1246399200000,65;299;252;258
data,1296514800000,70;336;292;297
data,1217541600000,70;347;303;307
data,1257030000000,70;348;304;308
data,1275343200000,71;349;304;308
data,1246399200000,73;360;314;317
data,1280613600000,75;377;332;334
data,1201820400000,80;451;399;401
data,1222812000000,81;460;407;410
data,1288566000000,82;461;408;411
data,1285884000000,83;465;412;415
data,1304596479846,85;468;414;416
data,1280613600000,88;488;435;438
data,1214863200000,91;502;445;449
data,1209592800000,91;511;457;459
data,1209592800000,91;518;465;467
data,1217541600000,92;521;470;470
data,1304596903908,94;526;475;476
data,1222812000000,99;558;502;504
data,1193871600000,100;563;505;506
data,1207000800000,100;572;514;516
data,1298934000000,107;609;551;552
data,1201820400000,109;627;567;569
data,1214863200000,113;656;595;590
data,1291158000000,113;663;603;598
data,1283292000000,116;681;621;618
data,1217541600000,119;701;639;635
data,1233442800000,120;724;661;656
data,1217541600000,124;756;692;685
data,1217541600000,126;774;709;699
data,1280613600000,132;784;721;708
data,1296514800000,146;895;839;822
data,1296514800000,147;902;846;829
data,1296514800000,149;907;851;834
data,1296514800000,150;932;875;860
data,1304596467476,150;936;878;863
data,1214863200000,153;955;896;881
data,1201820400000,155;962;903;888
data,1259622000000,156;970;910;898
data,1204326000000,161;997;939;925
data,1285884000000,163;1014;957;939
data,1212271200000,168;1051;991;971
data,1243807200000,168;1055;994;974
data,1296514800000,168;1057;998;978
data,1277935200000,169;1062;1004;985
data,1288566000000,169;1073;1016;995
data,1193871600000,173;1114;1060;1038
data,1275343200000,177;1153;1101;1076
data,1228086000000,183;1175;1122;1096
data,1291158000000,184;1182;1129;1103
data,1285884000000,186;1190;1137;1113
data,1296514800000,186;1193;1141;1117
data,1296514800000,189;1230;1181;1152
data,1298934000000,190;1234;1185;1155
data,1285884000000,192;1248;1199;1168
data,1257030000000,192;1249;1200;1169
data,1288566000000,192;1259;1210;1180
data,1285884000000,192;1270;1220;1188
data,1235862000000,192;1275;1225;1194
data,1288566000000,193;1283;1233;1202
data,1241128800000,197;1320;1272;1238
data,1193871600000,198;1341;1290;1257
data,1291158000000,201;1354;1303;1271
data,1285884000000,202;1361;1309;1277
data,1285884000000,203;1380;1328;1294
data,1293836400000,205;1402;1352;1315
data,1280613600000,209;1412;1362;1323
data,1254348000000,209;1415;1365;1327
data,1214863200000,212;1446;1397;1359
data,1285884000000,212;1449;1400;1362
data,1291158000000,214;1466;1419;1382
data,1241128800000,216;1482;1434;1394
data,1304596810163,220;1541;1491;1455
data,1296514800000,224;1562;1511;1473
data,1280613600000,224;1566;1515;1477
data,1212271200000,226;1587;1536;1497
data,1293836400000,227;1601;1553;1511
data,1285884000000,229;1618;1569;1525
data,1296514800000,230;1632;1582;1537
data,1207000800000,231;1635;1585;1540
data,1288566000000,231;1639;1586;1543
data,1291158000000,231;1641;1588;1544
data,1222812000000,231;1642;1590;1545
data,1243807200000,231;1649;1595;1552
data,1280613600000,231;1652;1598;1556
data,1272664800000,231;1654;1601;1559
data,1293836400000,234;1694;1641;1597
data,1277935200000,235;1706;1652;1608
