´úÂëÃ»ÓĞĞŞ¸Ä¹ı£¬ÔËĞĞ²»µ½Ê®·ÖÖÓ
New Run at  12/22/2016 15:49:04
, Time, RandomReward; LinUCBReward; 
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,1;8044;0
data,1254348000000,1;13234;0
data,1254348000000,1;16401;0
data,1246399200000,1;15599;0
data,1149112800000,1;6632;0
data,1298934000000,1;652;0
data,1220220000000,1;16852;0
data,1270072800000,1;14238;0
data,1254348000000,1;12325;0
data,1122847200000,1;755;0
data,1277935200000,1;4822;0
data,1175378400000,1;2125;0
data,1193871600000,1;5735;0
data,1267398000000,1;1011;0
data,1199142000000,2;17399;0
data,1246399200000,2;5691;1
data,1280613600000,2;18565;1
data,1283292000000,2;12619;1
data,1212271200000,2;18208;1
data,1230764400000,2;2598;1
data,1267398000000,2;2135;1
data,1225494000000,2;15869;1
data,1293836400000,2;3030;1
data,1214863200000,2;16818;1
data,1214863200000,2;2137;1
data,1259622000000,2;14646;1
data,1177970400000,2;15955;1
data,1291158000000,2;1046;1
data,1238536800000,2;8382;1
data,1280613600000,2;493;2
data,1254348000000,2;7099;2
data,1264978800000,2;1866;3
data,1209592800000,2;2614;3
data,1285884000000,2;6186;3
data,1249077600000,2;6139;3
data,1180648800000,2;8123;3
data,1304600809888,2;513;3
data,1217541600000,2;7889;3
data,1209592800000,2;2266;3
data,1304667929964,2;193;3
data,1264978800000,2;6296;4
data,1217541600000,2;11054;4
data,1230764400000,2;15869;4
data,1180648800000,2;11302;4
data,1241128800000,2;3415;4
data,1275343200000,2;1299;4
data,1296514800000,2;4469;4
data,1275343200000,2;1603;4
data,1212271200000,2;1390;5
data,1254348000000,2;3068;6
data,1162335600000,2;6446;6
data,1277935200000,2;173;6
data,1270072800000,2;10581;6
data,1262300400000,2;229;7
data,1249077600000,2;425;7
data,1254348000000,2;11742;7
data,1175378400000,2;11822;7
data,1291158000000,2;6546;7
data,1196463600000,2;2597;7
data,1262300400000,2;12392;7
data,1185919200000,2;2828;7
data,1285884000000,2;15935;7
data,1304598164008,2;11640;7
data,1267398000000,2;4738;7
data,1280613600000,2;230;8
data,1293836400000,2;3040;8
data,1259622000000,2;9416;8
data,1267398000000,2;9868;8
data,1188597600000,2;1899;8
data,1304700094346,2;18599;8
data,1259622000000,2;6639;8
data,1283292000000,2;652;8
data,1283292000000,2;16906;8
data,1214863200000,2;15272;8
data,1283292000000,2;18208;8
data,1257030000000,2;10839;8
data,1180648800000,2;12033;8
data,1175378400000,2;429;8
data,1283292000000,2;2437;8
data,1209592800000,2;3056;8
data,1298934000000,2;1046;8
data,1275343200000,2;15446;8
data,1191189600000,2;190;9
data,1304936927650,2;13039;9
data,1207000800000,2;16582;9
data,1222812000000,2;5044;9
data,1275343200000,2;4604;9
data,1204326000000,2;10976;9
data,1164927600000,2;16582;9
data,1212271200000,2;15375;9
data,1264978800000,2;6140;9
data,1257030000000,2;14288;9
data,1272664800000,3;5030;10
data,1246399200000,3;919;10
data,1214863200000,3;1116;10
data,1233442800000,3;4820;10
data,1183240800000,3;6081;10
data,1201820400000,3;12292;10
data,1243807200000,3;14238;10
data,1298934000000,3;416;10
data,1235862000000,3;857;10
data,1185919200000,3;11577;10
data,1249077600000,3;8835;10
data,1207000800000,3;12148;10
data,1267398000000,3;6009;10
data,1183240800000,3;12202;10
data,1280613600000,3;5937;10
data,1233442800000,3;7643;10
data,1162335600000,3;6450;10
data,1212271200000,3;501;11
data,1249077600000,3;2715;11
data,1262300400000,3;11623;11
data,1298934000000,3;3331;11
data,1193871600000,3;13214;11
data,1270072800000,3;3456;11
data,1259622000000,3;846;11
data,1257030000000,3;17559;11
data,1291158000000,3;16150;11
data,1262300400000,3;9336;11
data,1164927600000,3;2479;11
data,1193871600000,3;9259;11
data,1196463600000,3;6955;11
data,1249077600000,3;808;11
data,1283292000000,3;17880;11
data,1193871600000,3;10810;11
data,1146434400000,3;4472;11
data,1185919200000,3;18532;11
data,1204326000000,3;4821;11
data,1204326000000,3;2996;11
data,1270072800000,3;5363;11
data,1249077600000,3;13533;11
data,1230764400000,3;10899;11
data,1291158000000,3;8684;11
data,1220220000000,4;1675;11
data,1283292000000,4;11046;11
data,1280613600000,4;3596;11
data,1220220000000,4;2006;11
data,1228086000000,5;6196;11
data,1228086000000,5;13419;11
data,1296514800000,5;12639;11
data,1217541600000,5;13454;11
data,1230764400000,5;16049;11
data,1259622000000,5;13638;11
data,1209592800000,5;198;11
data,1238536800000,5;11055;11
data,1235862000000,5;12917;11
data,1196463600000,5;10252;11
data,1212271200000,5;989;11
data,1246399200000,5;3751;11
data,1220220000000,5;5288;11
data,1162335600000,5;14476;11
data,1230764400000,5;15189;11
data,1183240800000,5;16521;11
data,1272664800000,5;383;11
data,1162335600000,5;861;11
data,1304599045883,5;17473;11
data,1162335600000,5;13039;11
data,1241128800000,5;4835;11
data,1212271200000,5;1605;11
data,1183240800000,5;11829;11
data,1246399200000,5;5288;11
data,1291158000000,5;10572;11
data,1285884000000,5;12033;11
data,1214863200000,5;5171;11
data,1283292000000,5;13139;11
data,1146434400000,5;12788;11
data,1243807200000,5;7358;11
data,1159653600000,5;4047;11
data,1183240800000,5;13548;11
data,1212271200000,5;16222;11
data,1222812000000,5;8401;11
data,1146434400000,5;56;11
data,1277935200000,5;15115;11
data,1275343200000,5;12903;11
data,1293836400000,5;9966;11
data,1214863200000,5;4087;11
data,1212271200000,5;8482;11
data,1146434400000,5;6546;11
data,1288566000000,5;10252;11
data,1217541600000,6;14950;11
data,1185919200000,6;16540;11
data,1267398000000,6;1951;11
data,1283292000000,6;12903;11
data,1209592800000,6;154;12
data,1220220000000,6;2420;12
data,1217541600000,6;10220;12
data,1133391600000,6;545;12
data,1230764400000,6;4673;12
data,1241128800000,6;1151;12
data,1270072800000,7;6347;12
data,1228086000000,7;4792;12
data,1272664800000,7;17234;12
data,1209592800000,7;13526;12
data,1214863200000,7;668;12
data,1251756000000,7;3751;12
data,1283292000000,7;17372;12
data,1199142000000,7;16626;12
data,1304934672165,7;2666;12
data,1222812000000,7;2855;12
data,1285884000000,7;3667;12
data,1288566000000,7;7511;12
data,1214863200000,7;6627;12
data,1183240800000,7;16007;12
data,1270072800000,7;6347;12
data,1254348000000,7;10581;12
data,1222812000000,8;3122;12
data,1228086000000,8;12705;13
data,1225494000000,8;1239;13
data,1264978800000,8;11891;13
data,1238536800000,8;9466;13
data,1304677107571,8;11891;13
data,1275343200000,9;16706;13
data,1238536800000,9;8595;13
data,1185919200000,9;2346;13
data,1201820400000,9;1187;13
data,1185919200000,9;17872;13
data,1167606000000,9;193;14
data,1249077600000,9;1463;14
data,1288566000000,10;5639;14
data,1283292000000,10;2715;14
data,1277935200000,10;4180;15
data,1180648800000,10;17308;15
data,1249077600000,10;14476;15
data,1272664800000,11;9232;15
data,1212271200000,11;12788;15
data,1296514800000,11;622;16
data,1298934000000,11;14687;16
data,1154383200000,11;18509;16
data,1254348000000,12;8482;16
data,1201820400000,12;858;17
data,1272664800000,12;5171;17
data,1283292000000,12;14032;17
data,1209592800000,12;1899;17
data,1238536800000,12;11998;18
data,1304682198720,12;5302;18
data,1209592800000,12;18084;18
data,1285884000000,12;12105;18
data,1214863200000,12;4784;18
data,1235862000000,12;6781;18
data,1293836400000,12;16531;18
data,1233442800000,12;3851;18
data,1217541600000,12;14623;18
data,1272664800000,12;7352;19
data,1277935200000,12;18573;19
data,1304700079964,12;14139;19
data,1225494000000,12;1962;19
data,1212271200000,12;5476;19
data,1277935200000,12;1976;19
data,1204326000000,12;10555;19
data,1280613600000,12;13129;19
data,1270072800000,12;2277;20
data,1180648800000,12;1110;20
data,1298934000000,12;14791;20
data,1222812000000,12;14498;20
data,1238536800000,12;706;21
data,1246399200000,12;10806;21
data,1285884000000,12;229;21
data,1280613600000,12;13407;21
data,1283292000000,12;11701;21
data,1238536800000,12;8880;21
data,1149112800000,12;429;22
data,1298934000000,12;15498;22
data,1277935200000,12;17094;22
data,1257030000000,12;12105;22
data,1154383200000,12;18565;22
data,1262300400000,12;14956;22
data,1201820400000,12;12202;22
data,1172703600000,12;13915;22
data,1291158000000,12;16188;22
data,1143842400000,12;16271;22
data,1293836400000,12;16502;22
data,1257030000000,12;13528;22
data,1177970400000,12;14257;22
data,1249077600000,12;11046;22
data,1246399200000,12;13645;22
data,1172703600000,12;12998;22
data,1201820400000,12;11075;22
data,1249077600000,12;6289;22
data,1230764400000,13;808;23
data,1246399200000,13;3364;23
data,1175378400000,13;14950;23
data,1267398000000,13;11508;23
data,1175378400000,13;15183;23
data,1199142000000,13;17589;23
data,1220220000000,13;16708;23
data,1267398000000,13;10220;23
data,1298934000000,13;513;23
data,1122847200000,13;472;23
data,1141167600000,13;5040;23
data,1185919200000,14;943;23
data,1257030000000,14;1814;23
data,1207000800000,14;13619;23
data,1267398000000,14;190;24
data,1264978800000,14;8417;24
data,1217541600000,14;14807;24
data,1267398000000,14;1171;24
data,1285884000000,14;16852;25
data,1277935200000,14;4613;25
data,1246399200000,14;4168;25
data,1259622000000,14;6196;25
data,1233442800000,14;7835;25
data,1285884000000,14;8627;25
data,1228086000000,14;424;25
data,1270072800000,15;143;25
data,1246399200000,15;8905;25
data,1204326000000,15;17619;25
data,1270072800000,15;1118;25
data,1225494000000,15;6299;25
data,1291158000000,15;2187;25
data,1254348000000,15;8925;25
data,1222812000000,15;4218;25
data,1251756000000,15;2069;25
data,1201820400000,15;11982;25
data,1243807200000,15;9063;25
data,1212271200000,15;14288;25
data,1228086000000,15;4670;25
data,1304607873055,15;668;25
data,1291158000000,15;7334;25
data,1196463600000,15;826;25
data,1159653600000,15;8175;25
data,1296514800000,16;7511;25
data,1151704800000,16;15869;25
data,1177970400000,16;6139;25
data,1241128800000,16;3768;26
data,1288566000000,16;6325;26
data,1254348000000,16;9;26
data,1230764400000,16;6958;26
data,1214863200000,16;2420;26
data,1207000800000,16;3075;26
data,1264978800000,16;6165;26
data,1201820400000,16;10948;26
data,1304677196603,16;609;26
data,1164927600000,16;15498;26
data,1193871600000,16;10283;26
data,1262300400000,16;6634;26
data,1183240800000,16;14444;26
data,1254348000000,16;15566;26
data,1164927600000,16;716;26
data,1207000800000,16;12067;26
data,1251756000000,16;857;26
data,1246399200000,16;12124;26
data,1225494000000,16;1988;26
data,1199142000000,16;3027;26
data,1201820400000,16;5867;26
data,1280613600000,16;11703;26
data,1175378400000,16;4877;27
data,1296514800000,16;2434;27
data,1172703600000,16;18142;27
data,1280613600000,16;12067;27
data,1285884000000,16;11703;27
data,1164927600000,16;11973;27
data,1167606000000,16;5100;27
data,1280613600000,16;8660;27
data,1199142000000,16;88;27
data,1241128800000,16;191;27
data,1249077600000,16;5628;27
data,1270072800000,16;11122;27
data,1257030000000,16;5153;27
data,1293836400000,16;18541;27
data,1304607127720,16;10050;27
data,1267398000000,16;6324;27
data,1270072800000,16;2619;27
data,1264978800000,16;14367;27
data,1254348000000,16;13139;27
data,1249077600000,16;4681;27
data,1262300400000,16;11547;27
data,1291158000000,17;4497;27
data,1257030000000,17;425;28
data,1175378400000,17;7903;28
data,1212271200000,17;10500;28
data,1288566000000,17;188;28
data,1201820400000,17;190;28
data,1304690624176,17;7007;28
data,1175378400000,17;4836;28
data,1304608259002,17;14851;28
data,1270072800000,17;2229;28
data,1209592800000,17;18077;28
data,1288566000000,17;12410;28
data,1277935200000,17;17907;28
data,1212271200000,17;14002;28
