Êı¾İ½á¹ûÊÇ´íÎóµÄ
New Run at  12/22/2016 16:02:09
, Time, RandomReward; LinUCBReward; 
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,0;8044;0
data,1254348000000,0;13234;0
data,1254348000000,0;16401;0
data,1246399200000,0;15599;0
data,1149112800000,0;6632;0
data,1298934000000,0;652;0
data,1220220000000,0;16852;0
data,1270072800000,0;14238;0
data,1254348000000,0;12325;0
data,1122847200000,0;755;0
data,1277935200000,0;4822;0
data,1175378400000,0;2125;0
data,1193871600000,0;5735;0
data,1267398000000,0;1011;0
data,1199142000000,0;17399;0
data,1246399200000,0;5691;1
data,1280613600000,0;18565;1
data,1283292000000,0;12619;1
data,1212271200000,0;18208;1
data,1230764400000,0;2598;1
data,1267398000000,0;2135;1
data,1225494000000,0;15869;1
data,1293836400000,0;3030;1
data,1214863200000,0;16818;1
data,1214863200000,0;2137;1
data,1259622000000,0;14646;1
data,1177970400000,0;15955;1
data,1291158000000,0;1046;1
data,1238536800000,0;8382;1
data,1280613600000,0;493;2
data,1254348000000,0;7099;2
data,1264978800000,0;1866;3
data,1209592800000,0;2614;3
data,1285884000000,0;6186;3
data,1249077600000,0;6139;3
data,1180648800000,0;8123;3
data,1304600809888,0;513;3
data,1217541600000,0;7889;3
data,1209592800000,0;2266;3
data,1304667929964,0;193;3
data,1264978800000,0;6296;4
data,1217541600000,0;11054;4
data,1230764400000,0;15869;4
data,1180648800000,0;11302;4
data,1241128800000,0;3415;4
data,1275343200000,0;1299;4
data,1296514800000,0;4469;4
data,1275343200000,0;1603;4
data,1212271200000,0;1390;5
data,1254348000000,0;3068;6
data,1162335600000,0;6446;6
data,1277935200000,1;173;6
data,1270072800000,1;10581;6
data,1262300400000,1;229;7
data,1249077600000,1;425;7
data,1254348000000,1;11742;7
data,1175378400000,1;11822;7
data,1291158000000,1;6546;7
data,1196463600000,1;2597;7
data,1262300400000,1;12392;7
data,1185919200000,1;2828;7
data,1285884000000,1;15935;7
data,1304598164008,1;11640;7
data,1267398000000,1;4738;7
data,1280613600000,1;230;8
data,1293836400000,1;3040;8
data,1259622000000,1;9416;8
data,1267398000000,1;9868;8
data,1188597600000,1;1899;8
data,1304700094346,1;18599;8
data,1259622000000,1;6639;8
data,1283292000000,1;652;8
data,1283292000000,1;16906;8
data,1214863200000,1;15272;8
data,1283292000000,1;18208;8
data,1257030000000,1;10839;8
data,1180648800000,1;12033;8
data,1175378400000,1;429;8
data,1283292000000,1;2437;8
data,1209592800000,1;3056;8
data,1298934000000,1;1046;8
data,1275343200000,1;15446;8
data,1191189600000,1;190;9
data,1304936927650,1;13039;9
data,1207000800000,1;16582;9
data,1222812000000,1;5044;9
data,1275343200000,1;4604;9
data,1204326000000,1;10976;9
data,1164927600000,1;16582;9
data,1212271200000,1;15375;9
data,1264978800000,1;6140;9
data,1257030000000,1;14288;9
data,1272664800000,1;5030;10
data,1246399200000,1;919;10
data,1214863200000,1;1116;10
data,1233442800000,1;4820;10
data,1183240800000,1;6081;10
data,1201820400000,1;12292;10
data,1243807200000,1;14238;10
data,1298934000000,1;416;10
data,1235862000000,1;857;10
data,1185919200000,1;11577;10
data,1249077600000,1;8835;10
data,1207000800000,1;12148;10
data,1267398000000,1;18208;10
data,1183240800000,1;12202;10
data,1280613600000,1;5937;10
data,1233442800000,1;1048;10
data,1162335600000,1;6450;10
data,1212271200000,1;501;11
data,1249077600000,1;2715;11
data,1262300400000,2;11623;11
data,1298934000000,2;3456;11
data,1193871600000,2;13214;11
data,1270072800000,2;3456;11
data,1259622000000,2;846;11
data,1257030000000,2;17559;11
data,1291158000000,2;16150;11
data,1262300400000,2;9336;11
data,1164927600000,2;2479;11
data,1193871600000,2;9259;11
data,1196463600000,2;6955;11
data,1249077600000,2;808;11
data,1283292000000,2;9261;11
data,1193871600000,2;12619;11
data,1146434400000,2;11164;11
data,1185919200000,2;18532;11
data,1204326000000,2;4821;11
data,1204326000000,2;2996;11
data,1270072800000,2;5363;11
data,1249077600000,2;13533;11
data,1230764400000,2;10899;11
data,1291158000000,3;8684;11
data,1220220000000,3;1675;11
data,1283292000000,3;11046;11
data,1280613600000,3;3596;11
data,1220220000000,3;2006;11
data,1228086000000,3;6196;11
data,1228086000000,3;13419;11
data,1296514800000,3;18541;11
data,1217541600000,3;11891;11
data,1230764400000,3;16049;11
data,1259622000000,3;13638;11
data,1209592800000,3;198;11
data,1238536800000,3;11055;11
data,1235862000000,3;12917;11
data,1196463600000,3;10252;11
data,1212271200000,3;989;11
data,1246399200000,3;3751;11
data,1220220000000,3;5288;11
data,1162335600000,3;14476;11
data,1230764400000,3;15189;11
data,1183240800000,3;16521;11
data,1272664800000,3;383;11
data,1162335600000,3;2229;11
data,1304599045883,3;17473;11
data,1162335600000,3;13039;11
data,1241128800000,3;4835;11
data,1212271200000,3;1605;11
data,1183240800000,3;11829;11
data,1246399200000,3;5288;11
data,1291158000000,3;10572;11
data,1285884000000,3;12033;11
data,1214863200000,4;5171;11
data,1283292000000,4;13139;11
data,1146434400000,4;12788;11
data,1243807200000,4;3834;11
data,1159653600000,4;13744;11
data,1183240800000,4;13548;11
data,1212271200000,4;16222;11
data,1222812000000,4;8401;11
data,1146434400000,4;16026;11
data,1277935200000,4;15115;11
data,1275343200000,4;12903;11
data,1293836400000,4;9966;11
data,1214863200000,4;4087;11
data,1212271200000,4;8482;11
data,1146434400000,4;6546;11
data,1288566000000,4;10252;11
data,1217541600000,4;7279;11
data,1185919200000,5;16540;11
data,1267398000000,6;1951;11
data,1283292000000,6;12903;11
data,1209592800000,6;154;12
data,1220220000000,6;2420;12
data,1217541600000,6;10220;12
data,1133391600000,7;8401;12
data,1230764400000,7;4673;12
data,1241128800000,7;1151;12
data,1270072800000,7;6347;12
data,1228086000000,7;4792;12
data,1272664800000,7;17234;12
data,1209592800000,7;13526;12
data,1214863200000,7;668;12
data,1251756000000,7;3751;12
data,1283292000000,7;17372;12
data,1199142000000,7;16626;12
data,1304934672165,7;2666;12
data,1222812000000,7;2855;12
data,1285884000000,7;3667;12
data,1288566000000,7;7511;12
data,1214863200000,7;6627;12
data,1183240800000,7;16007;12
data,1270072800000,7;6347;12
data,1254348000000,7;10581;12
data,1222812000000,7;3122;12
data,1228086000000,7;12705;13
data,1225494000000,7;1239;13
data,1264978800000,7;11891;13
data,1238536800000,7;9466;13
data,1304677107571,7;11891;13
data,1275343200000,7;16706;13
data,1238536800000,7;8595;13
data,1185919200000,7;2346;13
data,1201820400000,7;1187;13
data,1185919200000,7;17872;13
data,1167606000000,7;193;14
data,1249077600000,7;1463;14
data,1288566000000,7;3752;14
data,1283292000000,7;2715;14
data,1277935200000,7;1492;14
data,1180648800000,7;17308;14
data,1249077600000,7;14476;14
data,1272664800000,7;2408;14
data,1212271200000,7;12788;14
data,1296514800000,7;622;15
data,1298934000000,7;14687;15
data,1154383200000,7;18509;15
data,1254348000000,7;8482;15
data,1201820400000,7;858;16
data,1272664800000,7;5171;16
data,1283292000000,7;14032;16
data,1209592800000,7;11703;16
data,1238536800000,8;11998;17
data,1304682198720,8;5937;17
data,1209592800000,8;18084;17
data,1285884000000,8;12105;17
data,1214863200000,8;4784;17
data,1235862000000,8;6781;17
data,1293836400000,8;496;17
data,1233442800000,8;3851;17
data,1217541600000,8;14623;17
data,1272664800000,8;7352;18
data,1277935200000,8;18573;18
data,1304700079964,8;14139;18
data,1225494000000,8;1962;18
data,1212271200000,8;5476;18
data,1277935200000,8;16363;18
data,1204326000000,8;8684;18
data,1280613600000,8;13129;18
data,1270072800000,8;2277;19
data,1180648800000,8;1110;19
data,1298934000000,8;333;19
data,1222812000000,8;14498;19
data,1238536800000,8;3068;19
data,1246399200000,8;10806;19
data,1285884000000,8;229;19
data,1280613600000,8;13407;19
data,1283292000000,8;11701;19
data,1238536800000,8;8880;19
data,1149112800000,8;429;20
data,1298934000000,8;15498;20
data,1277935200000,8;17094;20
data,1257030000000,8;12105;20
data,1154383200000,8;18565;20
data,1262300400000,9;14956;20
data,1201820400000,9;12202;20
data,1172703600000,9;17380;20
data,1291158000000,9;16188;20
data,1143842400000,9;16271;20
data,1293836400000,9;16502;20
data,1257030000000,9;936;20
data,1177970400000,9;14257;20
data,1249077600000,9;11046;20
data,1246399200000,9;13645;20
data,1172703600000,9;12998;20
data,1201820400000,9;11075;20
data,1249077600000,9;6289;20
data,1230764400000,9;808;21
data,1246399200000,9;3364;21
data,1175378400000,9;14950;21
data,1267398000000,9;11508;21
data,1175378400000,9;15183;21
data,1199142000000,9;17589;21
data,1220220000000,9;16708;21
data,1267398000000,9;10220;21
data,1298934000000,9;513;21
data,1122847200000,9;472;21
data,1141167600000,10;5040;21
data,1185919200000,10;14646;21
data,1257030000000,10;1814;21
data,1207000800000,10;13619;21
data,1267398000000,10;190;22
data,1264978800000,10;8417;22
data,1217541600000,10;14807;22
data,1267398000000,10;1171;22
data,1285884000000,10;16852;23
data,1277935200000,10;4613;23
data,1246399200000,10;4168;23
data,1259622000000,10;6196;23
data,1233442800000,10;7835;23
data,1285884000000,11;8627;23
data,1228086000000,11;424;23
data,1270072800000,12;11174;23
data,1246399200000,12;10597;23
data,1204326000000,13;17619;23
data,1270072800000,13;1118;23
data,1225494000000,13;6299;23
data,1291158000000,13;2187;23
data,1254348000000,14;8925;23
data,1222812000000,14;4218;23
data,1251756000000,14;6883;23
data,1201820400000,14;11982;23
data,1243807200000,14;9063;23
data,1212271200000,14;14288;23
data,1228086000000,14;4670;23
data,1304607873055,14;668;23
data,1291158000000,14;7334;23
data,1196463600000,14;9082;23
data,1159653600000,14;8175;23
data,1296514800000,14;7511;23
data,1151704800000,14;15869;23
data,1177970400000,14;6139;23
data,1241128800000,14;3768;24
data,1288566000000,14;6325;24
data,1254348000000,14;9;24
data,1230764400000,14;13427;24
data,1214863200000,14;2420;24
data,1207000800000,14;3075;24
data,1264978800000,14;6165;24
data,1201820400000,14;10948;24
data,1304677196603,14;609;24
data,1164927600000,14;15498;24
data,1193871600000,14;10283;24
data,1262300400000,14;6634;24
data,1183240800000,14;14444;24
data,1254348000000,14;15566;24
data,1164927600000,14;716;24
data,1207000800000,14;12067;24
data,1251756000000,14;857;24
data,1246399200000,14;510;25
data,1225494000000,14;1988;25
data,1199142000000,14;1892;25
data,1201820400000,14;5867;25
data,1280613600000,14;11703;25
data,1175378400000,14;9126;25
data,1296514800000,14;2434;25
data,1172703600000,14;18142;25
data,1280613600000,14;12067;25
data,1285884000000,14;16686;25
data,1164927600000,14;11973;25
data,1167606000000,14;4115;25
data,1280613600000,14;8660;25
data,1199142000000,14;88;25
data,1241128800000,14;12710;25
data,1249077600000,14;5628;25
data,1270072800000,14;11122;25
data,1257030000000,14;5153;25
data,1293836400000,14;18541;25
data,1304607127720,14;10050;25
data,1267398000000,14;3813;25
data,1270072800000,14;2619;25
data,1264978800000,14;14367;25
data,1254348000000,14;13139;25
data,1249077600000,14;6215;25
data,1262300400000,14;11547;25
data,1291158000000,14;4497;25
data,1257030000000,14;6442;25
data,1175378400000,14;8925;25
data,1212271200000,14;10500;25
data,1288566000000,14;188;25
data,1201820400000,14;190;25
data,1304690624176,14;7007;25
data,1175378400000,14;4836;25
data,1304608259002,14;14851;25
data,1270072800000,14;2229;25
data,1209592800000,14;18077;25
data,1288566000000,14;12410;25
data,1277935200000,14;17907;25
data,1212271200000,15;14002;25
data,1196463600000,15;15591;25
data,1296514800000,15;230;25
