Ã¿´Î¶¼¸üĞÂAºÍb£¬½á¹û±È½Ï²î£¬ÕâÒ²ÄÜËµÃ÷£¬Èç¹û»ìÔÓµÄÊ¹ÓÃËùÓĞÊı¾İ£¬»áÓĞÔëÉùÓ°Ïì
New Run at  12/23/2016 10:02:23
, Time, RandomReward; LinUCBReward; 
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,1;8044;0
data,1254348000000,1;13234;0
data,1254348000000,1;16401;0
data,1246399200000,1;15599;0
data,1149112800000,1;6632;0
data,1298934000000,1;652;0
data,1220220000000,1;16852;0
data,1270072800000,1;14238;0
data,1254348000000,1;12325;0
data,1122847200000,1;755;0
data,1277935200000,1;4822;0
data,1175378400000,1;2125;0
data,1193871600000,1;5735;0
data,1267398000000,1;1011;0
data,1199142000000,1;17399;0
data,1246399200000,1;5691;1
data,1280613600000,2;18565;1
data,1283292000000,2;12619;1
data,1212271200000,2;18208;1
data,1230764400000,2;2598;1
data,1267398000000,2;16013;1
data,1225494000000,2;15869;1
data,1293836400000,2;3030;1
data,1214863200000,2;16818;1
data,1214863200000,2;2137;1
data,1259622000000,2;14646;1
data,1177970400000,2;15955;1
data,1291158000000,2;1046;1
data,1238536800000,2;8382;1
data,1280613600000,2;493;2
data,1254348000000,2;7099;2
data,1264978800000,2;1866;3
data,1209592800000,2;2614;3
data,1285884000000,2;6186;3
data,1249077600000,2;6139;3
data,1180648800000,2;8123;3
data,1304600809888,2;513;3
data,1217541600000,2;7889;3
data,1209592800000,2;2266;3
data,1304667929964,2;193;3
data,1264978800000,2;7352;3
data,1217541600000,2;11054;3
data,1230764400000,2;15869;3
data,1180648800000,2;11302;3
data,1241128800000,2;3415;3
data,1275343200000,2;1299;3
data,1296514800000,2;4469;3
data,1275343200000,2;1603;3
data,1212271200000,2;1390;4
data,1254348000000,2;3068;5
data,1162335600000,2;6446;5
data,1277935200000,2;173;5
data,1270072800000,2;10581;5
data,1262300400000,3;229;6
data,1249077600000,3;425;6
data,1254348000000,3;1489;7
data,1175378400000,3;11822;7
data,1291158000000,3;6546;7
data,1196463600000,3;2597;7
data,1262300400000,3;12392;7
data,1185919200000,3;2828;7
data,1285884000000,3;7882;7
data,1304598164008,3;11640;7
data,1267398000000,3;4738;7
data,1280613600000,3;230;8
data,1293836400000,3;3040;8
data,1259622000000,3;9416;8
data,1267398000000,3;9351;8
data,1188597600000,3;1899;8
data,1304700094346,3;2466;9
data,1259622000000,3;6639;9
data,1283292000000,3;652;9
data,1283292000000,3;16906;9
data,1214863200000,3;15272;9
data,1283292000000,3;18208;9
data,1257030000000,3;10839;9
data,1180648800000,3;12033;9
data,1175378400000,3;429;9
data,1283292000000,3;2469;9
data,1209592800000,3;3056;9
data,1298934000000,3;1046;9
data,1275343200000,3;15446;9
data,1191189600000,3;190;10
data,1304936927650,3;13039;10
data,1207000800000,3;16582;10
data,1222812000000,4;5044;10
data,1275343200000,4;4604;10
data,1204326000000,4;10976;10
data,1164927600000,4;16582;10
data,1212271200000,4;15375;10
data,1264978800000,4;66;10
data,1257030000000,4;14288;10
data,1272664800000,4;5030;11
data,1246399200000,4;8925;11
data,1214863200000,4;1116;11
data,1233442800000,4;4820;11
data,1183240800000,4;1610;11
data,1201820400000,4;12292;11
data,1243807200000,4;14238;11
data,1298934000000,4;3404;12
data,1235862000000,4;857;12
data,1185919200000,4;11577;12
data,1249077600000,4;8835;12
data,1207000800000,4;3400;12
data,1267398000000,4;18208;12
data,1183240800000,4;8523;12
data,1280613600000,4;5937;12
data,1233442800000,4;1048;12
data,1162335600000,4;6450;12
data,1212271200000,4;501;13
data,1249077600000,4;2715;13
data,1262300400000,4;11623;13
data,1298934000000,4;2451;13
data,1193871600000,4;13214;13
data,1270072800000,4;735;14
data,1259622000000,4;846;14
data,1257030000000,4;17559;14
data,1291158000000,4;16150;14
data,1262300400000,5;9336;14
data,1164927600000,5;2479;14
data,1193871600000,5;9259;14
data,1196463600000,5;6955;14
data,1249077600000,5;1383;15
data,1283292000000,5;9261;15
data,1193871600000,5;12619;15
data,1146434400000,5;4472;15
data,1185919200000,5;18532;15
data,1204326000000,5;4821;15
data,1204326000000,5;65;16
data,1270072800000,6;5363;16
data,1249077600000,6;14144;16
data,1230764400000,6;6331;16
data,1291158000000,6;8684;16
data,1220220000000,6;1675;16
data,1283292000000,6;11046;16
data,1280613600000,6;3596;16
data,1220220000000,6;2006;16
data,1228086000000,6;6196;16
data,1228086000000,6;13419;16
data,1296514800000,6;18541;16
data,1217541600000,6;16390;16
data,1230764400000,6;16049;16
data,1259622000000,6;13638;16
data,1209592800000,6;198;16
data,1238536800000,6;11055;16
data,1235862000000,7;12917;16
data,1196463600000,7;10252;16
data,1212271200000,8;989;16
data,1246399200000,8;3751;16
data,1220220000000,8;5288;16
data,1162335600000,8;14476;16
data,1230764400000,8;15189;16
data,1183240800000,8;16521;16
data,1272664800000,8;9892;16
data,1162335600000,8;11467;16
data,1304599045883,8;9727;16
data,1162335600000,8;6619;17
data,1241128800000,8;4835;17
data,1212271200000,8;1605;17
data,1183240800000,8;11829;17
data,1246399200000,8;5288;17
data,1291158000000,8;10572;17
data,1285884000000,8;12033;17
data,1214863200000,8;3011;18
data,1283292000000,8;13139;18
data,1146434400000,8;12788;18
data,1243807200000,8;302;19
data,1159653600000,8;4047;19
data,1183240800000,8;13548;19
data,1212271200000,9;16222;19
data,1222812000000,9;11031;19
data,1146434400000,9;17483;19
data,1277935200000,9;15115;19
data,1275343200000,9;12903;19
data,1293836400000,9;9966;19
data,1214863200000,9;892;19
data,1212271200000,9;8482;19
data,1146434400000,9;6546;19
data,1288566000000,9;11532;19
data,1217541600000,9;995;20
data,1185919200000,9;16540;20
data,1267398000000,9;1951;20
data,1283292000000,9;999;21
data,1209592800000,9;154;22
data,1220220000000,9;2420;22
data,1217541600000,9;10220;22
data,1133391600000,9;436;23
data,1230764400000,9;1360;23
data,1241128800000,9;1151;23
data,1270072800000,9;6347;23
data,1228086000000,9;4792;23
data,1272664800000,9;17234;23
data,1209592800000,9;7663;24
data,1214863200000,9;668;24
data,1251756000000,9;3751;24
data,1283292000000,9;17372;24
data,1199142000000,10;16626;24
data,1304934672165,10;2666;24
data,1222812000000,10;2855;24
data,1285884000000,10;3667;24
data,1288566000000,10;7511;24
data,1214863200000,10;1881;24
data,1183240800000,10;16007;24
data,1270072800000,10;11174;24
data,1254348000000,10;10581;24
data,1222812000000,10;3122;24
data,1228086000000,10;12705;25
data,1225494000000,10;1239;25
data,1264978800000,10;11891;25
data,1238536800000,10;9466;25
data,1304677107571,10;11891;25
data,1275343200000,10;16706;25
data,1238536800000,10;8595;25
data,1185919200000,10;2346;25
data,1201820400000,10;1187;25
data,1185919200000,10;4692;25
data,1167606000000,10;193;26
data,1249077600000,10;1463;26
data,1288566000000,10;3752;26
data,1283292000000,10;2715;26
data,1277935200000,10;9256;26
data,1180648800000,10;1412;27
data,1249077600000,10;14476;27
data,1272664800000,10;9232;27
data,1212271200000,10;12788;27
data,1296514800000,10;622;28
data,1298934000000,10;14687;28
data,1154383200000,10;18509;28
data,1254348000000,10;8482;28
data,1201820400000,10;858;29
data,1272664800000,10;5171;29
data,1283292000000,10;14032;29
data,1209592800000,10;1899;29
data,1238536800000,10;11998;30
data,1304682198720,10;5937;30
data,1209592800000,10;14406;30
data,1285884000000,10;12105;30
data,1214863200000,10;421;30
data,1235862000000,10;3247;30
data,1293836400000,10;496;30
data,1233442800000,10;3851;30
data,1217541600000,10;10640;30
data,1272664800000,10;7352;31
data,1277935200000,10;18573;31
data,1304700079964,11;14139;31
data,1225494000000,11;1962;31
data,1212271200000,11;1633;31
data,1277935200000,11;285;32
data,1204326000000,11;10555;32
data,1280613600000,11;13129;32
data,1270072800000,11;2277;33
data,1180648800000,11;1110;33
data,1298934000000,11;10715;33
data,1222812000000,11;6997;33
data,1238536800000,11;4529;33
data,1246399200000,11;10806;33
data,1285884000000,11;229;33
data,1280613600000,11;13407;33
data,1283292000000,12;2089;33
data,1238536800000,12;8880;33
data,1149112800000,12;429;34
data,1298934000000,12;15498;34
data,1277935200000,12;17094;34
data,1257030000000,12;12105;34
data,1154383200000,12;18565;34
data,1262300400000,12;7068;34
data,1201820400000,12;12202;34
data,1172703600000,12;17380;34
data,1291158000000,12;16188;34
data,1143842400000,12;1412;35
data,1293836400000,12;16502;35
data,1257030000000,12;12710;35
data,1177970400000,13;14257;35
data,1249077600000,13;11046;35
data,1246399200000,13;13645;35
data,1172703600000,13;979;36
data,1201820400000,13;11075;36
data,1249077600000,13;4193;36
data,1230764400000,13;808;37
data,1246399200000,13;3364;37
data,1175378400000,13;2571;37
data,1267398000000,13;11508;37
data,1175378400000,13;15183;37
data,1199142000000,13;17589;37
data,1220220000000,13;10252;37
data,1267398000000,13;10220;37
data,1298934000000,13;513;37
data,1122847200000,13;472;37
data,1141167600000,13;5040;37
data,1185919200000,13;5412;37
data,1257030000000,13;8155;37
data,1207000800000,13;13619;37
data,1267398000000,13;190;38
data,1264978800000,13;8417;38
data,1217541600000,13;715;39
data,1267398000000,13;6086;39
data,1285884000000,13;16852;40
data,1277935200000,13;1183;40
data,1246399200000,13;2853;40
data,1259622000000,13;6196;40
data,1233442800000,13;306;41
data,1285884000000,13;890;41
data,1228086000000,13;424;41
data,1270072800000,13;11174;41
data,1246399200000,13;288;42
data,1204326000000,13;9977;43
data,1270072800000,13;1118;43
data,1225494000000,13;6299;43
data,1291158000000,13;525;43
data,1254348000000,13;8925;43
data,1222812000000,13;4218;43
data,1251756000000,13;10287;43
data,1201820400000,13;11982;43
data,1243807200000,13;9063;43
data,1212271200000,13;7898;43
data,1228086000000,13;18008;43
data,1304607873055,13;668;43
data,1291158000000,13;4880;43
data,1196463600000,13;826;43
data,1159653600000,13;8175;43
data,1296514800000,13;7511;43
data,1151704800000,13;285;44
data,1177970400000,13;6139;44
data,1241128800000,13;3768;45
data,1288566000000,13;868;46
data,1254348000000,13;14485;46
data,1230764400000,13;4707;46
data,1214863200000,13;2420;46
data,1207000800000,13;3075;46
data,1264978800000,13;6165;46
data,1201820400000,13;10948;46
data,1304677196603,13;609;46
data,1164927600000,13;15498;46
data,1193871600000,13;1043;46
data,1262300400000,13;6634;46
data,1183240800000,13;14250;46
data,1254348000000,13;15566;46
data,1164927600000,13;716;46
data,1207000800000,13;12067;46
data,1251756000000,13;857;46
data,1246399200000,13;4428;46
data,1225494000000,13;1988;46
data,1199142000000,13;359;46
data,1201820400000,13;5867;46
data,1280613600000,13;11703;46
data,1175378400000,13;9533;46
data,1296514800000,13;2434;46
data,1172703600000,13;18142;46
data,1280613600000,13;12067;46
data,1285884000000,13;5410;46
data,1164927600000,13;11973;46
data,1167606000000,14;4115;46
data,1280613600000,14;8660;46
data,1199142000000,14;88;46
data,1241128800000,14;191;46
data,1249077600000,14;5628;46
data,1270072800000,14;11122;46
data,1257030000000,15;5153;46
data,1293836400000,15;5462;46
data,1304607127720,15;10050;46
data,1267398000000,15;3813;46
data,1270072800000,15;2619;46
data,1264978800000,15;4031;46
data,1254348000000,15;13139;46
data,1249077600000,15;157;47
data,1262300400000,15;11547;47
data,1291158000000,15;249;47
data,1257030000000,15;637;47
data,1175378400000,15;173;48
data,1212271200000,15;10500;48
data,1288566000000,15;188;48
data,1201820400000,15;322;49
data,1304690624176,15;7007;49
data,1175378400000,15;4836;49
data,1304608259002,15;14851;49
data,1270072800000,15;2083;49
