Ã¿´ÎÊ¹ÓÃ×îÓÅarm¸üĞÂA£¬b»¹ÊÇÊ¹ÓÃÏëÓ®µÄrewardÀ´¸üĞÂ£¬½á¹ûºÜ²î
New Run at  12/23/2016 10:11:40
, Time, RandomReward; LinUCBReward; 
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,0;8044;0
data,1254348000000,0;13234;0
data,1254348000000,0;16401;0
data,1246399200000,0;15599;0
data,1149112800000,0;6632;0
data,1298934000000,0;652;0
data,1220220000000,0;16852;0
data,1270072800000,0;14238;0
data,1254348000000,0;12325;0
data,1122847200000,0;755;0
data,1277935200000,0;4822;0
data,1175378400000,0;2125;0
data,1193871600000,0;5735;0
data,1267398000000,0;1011;0
data,1199142000000,0;17399;0
data,1246399200000,0;5691;1
data,1280613600000,0;18565;1
data,1283292000000,0;12619;1
data,1212271200000,0;18208;1
data,1230764400000,0;2598;1
data,1267398000000,0;2135;1
data,1225494000000,0;15869;1
data,1293836400000,0;3030;1
data,1214863200000,0;16818;1
data,1214863200000,0;2137;1
data,1259622000000,0;14646;1
data,1177970400000,0;15955;1
data,1291158000000,0;1046;1
data,1238536800000,0;8382;1
data,1280613600000,0;493;2
data,1254348000000,0;7099;2
data,1264978800000,0;1866;3
data,1209592800000,0;2614;3
data,1285884000000,0;6186;3
data,1249077600000,0;6139;3
data,1180648800000,0;8123;3
data,1304600809888,0;513;3
data,1217541600000,0;7889;3
data,1209592800000,1;2266;3
data,1304667929964,1;193;3
data,1264978800000,1;871;3
data,1217541600000,2;11054;3
data,1230764400000,2;15869;3
data,1180648800000,2;11302;3
data,1241128800000,2;3415;3
data,1275343200000,2;1299;3
data,1296514800000,2;4469;3
data,1275343200000,2;1603;3
data,1212271200000,2;1390;4
data,1254348000000,2;3068;5
data,1162335600000,2;6446;5
data,1277935200000,2;173;5
data,1270072800000,2;10581;5
data,1262300400000,2;229;6
data,1249077600000,3;425;6
data,1254348000000,3;11742;6
data,1175378400000,3;11822;6
data,1291158000000,3;6546;6
data,1196463600000,3;3087;6
data,1262300400000,3;7619;6
data,1185919200000,3;2828;6
data,1285884000000,3;15935;6
data,1304598164008,3;11640;6
data,1267398000000,3;4738;6
data,1280613600000,3;230;7
data,1293836400000,3;17880;7
data,1259622000000,3;9416;7
data,1267398000000,3;9868;7
data,1188597600000,3;1899;7
data,1304700094346,3;18599;7
data,1259622000000,3;6639;7
data,1283292000000,3;652;7
data,1283292000000,3;16906;7
data,1214863200000,3;15272;7
data,1283292000000,3;18208;7
data,1257030000000,3;10839;7
data,1180648800000,3;12033;7
data,1175378400000,3;429;7
data,1283292000000,3;2437;7
data,1209592800000,3;3056;7
data,1298934000000,3;1046;7
data,1275343200000,3;15446;7
data,1191189600000,3;190;8
data,1304936927650,3;13039;8
data,1207000800000,3;16582;8
data,1222812000000,3;5044;8
data,1275343200000,3;4604;8
data,1204326000000,3;10976;8
data,1164927600000,3;16582;8
data,1212271200000,3;15375;8
data,1264978800000,3;6140;8
data,1257030000000,3;14288;8
data,1272664800000,3;5030;9
data,1246399200000,3;919;9
data,1214863200000,3;1116;9
data,1233442800000,3;4820;9
data,1183240800000,3;6081;9
data,1201820400000,3;12292;9
data,1243807200000,3;14238;9
data,1298934000000,3;416;9
data,1235862000000,3;857;9
data,1185919200000,3;11577;9
data,1249077600000,3;8835;9
data,1207000800000,3;12148;9
data,1267398000000,4;6009;9
data,1183240800000,4;12202;9
data,1280613600000,4;5937;9
data,1233442800000,4;1048;9
data,1162335600000,4;6450;9
data,1212271200000,4;501;10
data,1249077600000,4;2715;10
data,1262300400000,4;11623;10
data,1298934000000,4;3456;10
data,1193871600000,4;13214;10
data,1270072800000,4;3456;10
data,1259622000000,4;846;10
data,1257030000000,4;17559;10
data,1291158000000,4;16150;10
data,1262300400000,4;9336;10
data,1164927600000,4;2479;10
data,1193871600000,4;9259;10
data,1196463600000,4;6955;10
data,1249077600000,4;808;10
data,1283292000000,4;852;10
data,1193871600000,4;12619;10
data,1146434400000,4;11164;10
data,1185919200000,4;18532;10
data,1204326000000,4;4821;10
data,1204326000000,4;2996;10
data,1270072800000,4;5363;10
data,1249077600000,4;13533;10
data,1230764400000,4;10899;10
data,1291158000000,4;8684;10
data,1220220000000,4;1675;10
data,1283292000000,4;11046;10
data,1280613600000,4;3596;10
data,1220220000000,4;2006;10
data,1228086000000,4;6196;10
data,1228086000000,4;13419;10
data,1296514800000,4;12639;10
data,1217541600000,4;11891;10
data,1230764400000,4;16049;10
data,1259622000000,4;13638;10
data,1209592800000,4;198;10
data,1238536800000,4;11055;10
data,1235862000000,4;12917;10
data,1196463600000,4;10252;10
data,1212271200000,4;989;10
data,1246399200000,4;3751;10
data,1220220000000,4;5288;10
data,1162335600000,4;14476;10
data,1230764400000,4;15189;10
data,1183240800000,4;16521;10
data,1272664800000,4;383;10
data,1162335600000,4;2229;10
data,1304599045883,4;10050;10
data,1162335600000,4;13039;10
data,1241128800000,5;4835;10
data,1212271200000,5;1605;10
data,1183240800000,5;11829;10
data,1246399200000,5;5288;10
data,1291158000000,5;10572;10
data,1285884000000,5;12033;10
data,1214863200000,5;5171;10
data,1283292000000,5;13139;10
data,1146434400000,5;12788;10
data,1243807200000,5;3834;10
data,1159653600000,5;13744;10
data,1183240800000,5;13548;10
data,1212271200000,5;16222;10
data,1222812000000,6;8401;10
data,1146434400000,6;16026;10
data,1277935200000,6;15115;10
data,1275343200000,6;12903;10
data,1293836400000,6;9966;10
data,1214863200000,7;4087;10
data,1212271200000,7;8482;10
data,1146434400000,7;6546;10
data,1288566000000,7;10252;10
data,1217541600000,7;7279;10
data,1185919200000,7;16540;10
data,1267398000000,7;1951;10
data,1283292000000,7;12903;10
data,1209592800000,7;154;11
data,1220220000000,7;2420;11
data,1217541600000,7;10220;11
data,1133391600000,7;8401;11
data,1230764400000,7;16609;11
data,1241128800000,7;1151;11
data,1270072800000,7;6347;11
data,1228086000000,7;4792;11
data,1272664800000,7;17234;11
data,1209592800000,7;13526;11
data,1214863200000,7;668;11
data,1251756000000,8;3751;11
data,1283292000000,8;17372;11
data,1199142000000,8;16626;11
data,1304934672165,8;18566;11
data,1222812000000,8;2855;11
data,1285884000000,8;3667;11
data,1288566000000,8;7511;11
data,1214863200000,8;6627;11
data,1183240800000,8;16007;11
data,1270072800000,8;6347;11
data,1254348000000,8;10581;11
data,1222812000000,8;3122;11
data,1228086000000,8;12705;12
data,1225494000000,8;1239;12
data,1264978800000,8;11891;12
data,1238536800000,8;9466;12
data,1304677107571,8;11891;12
data,1275343200000,8;16706;12
data,1238536800000,8;8595;12
data,1185919200000,8;2346;12
data,1201820400000,9;1187;12
data,1185919200000,9;17872;12
data,1167606000000,9;14002;12
data,1249077600000,9;1463;12
data,1288566000000,9;3752;12
data,1283292000000,9;2715;12
data,1277935200000,9;12918;12
data,1180648800000,9;17308;12
data,1249077600000,9;14476;12
data,1272664800000,9;2442;12
data,1212271200000,9;12788;12
data,1296514800000,9;622;13
data,1298934000000,9;14687;13
data,1154383200000,9;18509;13
data,1254348000000,9;8482;13
data,1201820400000,9;858;14
data,1272664800000,9;5171;14
data,1283292000000,9;14032;14
data,1209592800000,9;11703;14
data,1238536800000,9;11998;15
data,1304682198720,9;8479;16
data,1209592800000,9;15102;16
data,1285884000000,9;12105;16
data,1214863200000,9;2845;17
data,1235862000000,9;6781;17
data,1293836400000,9;2621;17
data,1233442800000,9;3851;17
data,1217541600000,9;14961;17
data,1272664800000,9;7352;18
data,1277935200000,9;18573;18
data,1304700079964,9;14139;18
data,1225494000000,9;1962;18
data,1212271200000,9;16156;18
data,1277935200000,9;16363;18
data,1204326000000,9;8684;18
data,1280613600000,9;13129;18
data,1270072800000,9;2277;19
data,1180648800000,9;1110;19
data,1298934000000,9;333;19
data,1222812000000,9;14498;19
data,1238536800000,10;3068;19
data,1246399200000,10;10806;19
data,1285884000000,10;229;19
data,1280613600000,10;13407;19
data,1283292000000,10;11701;19
data,1238536800000,10;8880;19
data,1149112800000,10;1513;19
data,1298934000000,10;15498;19
data,1277935200000,10;17094;19
data,1257030000000,10;12105;19
data,1154383200000,10;18565;19
data,1262300400000,10;14956;19
data,1201820400000,10;12202;19
data,1172703600000,10;13915;19
data,1291158000000,10;16188;19
data,1143842400000,10;16271;19
data,1293836400000,10;16502;19
data,1257030000000,10;3940;19
data,1177970400000,10;14257;19
data,1249077600000,10;11046;19
data,1246399200000,10;13645;19
data,1172703600000,10;12998;19
data,1201820400000,10;11075;19
data,1249077600000,10;11405;19
data,1230764400000,10;808;20
data,1246399200000,10;3364;20
data,1175378400000,10;14950;20
data,1267398000000,10;11508;20
data,1175378400000,10;15183;20
data,1199142000000,10;17589;20
data,1220220000000,10;16708;20
data,1267398000000,10;10220;20
data,1298934000000,10;513;20
data,1122847200000,10;472;20
data,1141167600000,10;5040;20
data,1185919200000,10;14646;20
data,1257030000000,10;1814;20
data,1207000800000,10;13619;20
data,1267398000000,10;190;21
data,1264978800000,11;8417;21
data,1217541600000,11;12780;21
data,1267398000000,11;1171;21
data,1285884000000,12;16852;22
data,1277935200000,12;4613;22
data,1246399200000,12;4168;22
data,1259622000000,12;6196;22
data,1233442800000,12;7835;22
data,1285884000000,12;10498;22
data,1228086000000,12;424;22
data,1270072800000,12;13603;22
data,1246399200000,12;10597;22
data,1204326000000,12;17619;22
data,1270072800000,12;1118;22
data,1225494000000,12;6299;22
data,1291158000000,12;2187;22
data,1254348000000,12;8925;22
data,1222812000000,12;4218;22
data,1251756000000,12;2069;22
data,1201820400000,12;11982;22
data,1243807200000,12;9063;22
data,1212271200000,12;14288;22
data,1228086000000,12;4670;22
data,1304607873055,12;668;22
data,1291158000000,12;7334;22
data,1196463600000,12;9082;22
data,1159653600000,13;8175;22
data,1296514800000,13;7511;22
data,1151704800000,13;15869;22
data,1177970400000,13;6139;22
data,1241128800000,13;3768;23
data,1288566000000,13;6325;23
data,1254348000000,13;9;23
data,1230764400000,13;13427;23
data,1214863200000,13;2420;23
data,1207000800000,13;3075;23
data,1264978800000,13;6165;23
data,1201820400000,13;10948;23
data,1304677196603,13;609;23
data,1164927600000,13;15498;23
data,1193871600000,13;10283;23
data,1262300400000,13;6634;23
data,1183240800000,13;14444;23
data,1254348000000,13;15566;23
data,1164927600000,13;716;23
data,1207000800000,13;12067;23
data,1251756000000,13;857;23
data,1246399200000,13;2971;23
data,1225494000000,13;2898;23
data,1199142000000,13;3027;23
data,1201820400000,13;5867;23
data,1280613600000,13;11703;23
data,1175378400000,13;2291;23
data,1296514800000,14;2434;23
data,1172703600000,14;18142;23
data,1280613600000,14;12067;23
data,1285884000000,14;16272;23
data,1164927600000,14;11973;23
data,1167606000000,14;5100;23
data,1280613600000,14;8660;23
data,1199142000000,14;88;23
data,1241128800000,14;12710;23
data,1249077600000,14;5628;23
data,1270072800000,14;11122;23
data,1257030000000,15;5153;23
data,1293836400000,15;18541;23
data,1304607127720,15;10050;23
data,1267398000000,15;6324;23
data,1270072800000,15;2619;23
data,1264978800000,15;1954;23
data,1254348000000,15;13139;23
data,1249077600000,15;6215;23
data,1262300400000,15;11547;23
data,1291158000000,15;4497;23
data,1257030000000,15;6442;23
data,1175378400000,15;8925;23
data,1212271200000,15;10500;23
data,1288566000000,15;188;23
data,1201820400000,15;190;23
data,1304690624176,15;7007;23
data,1175378400000,15;4836;23
data,1304608259002,15;14851;23
data,1270072800000,16;2229;23
data,1209592800000,16;18077;23
