Õı³£Êı¾İ£¬Õı³£½á¹û
New Run at  12/23/2016 10:20:37
, Time, RandomReward; LinUCBReward; 
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,0;8044;0
data,1254348000000,0;13234;0
data,1254348000000,0;16401;0
data,1246399200000,0;15599;0
data,1149112800000,0;6632;0
data,1298934000000,0;652;0
data,1220220000000,0;16852;0
data,1270072800000,0;14238;0
data,1254348000000,0;12325;0
data,1122847200000,0;755;0
data,1277935200000,0;4822;0
data,1175378400000,0;2125;0
data,1193871600000,0;5735;0
data,1267398000000,0;1011;0
data,1199142000000,0;17399;0
data,1246399200000,0;5691;1
data,1280613600000,0;18565;1
data,1283292000000,0;12619;1
data,1212271200000,0;18208;1
data,1230764400000,0;2598;1
data,1267398000000,0;2135;1
data,1225494000000,0;15869;1
data,1293836400000,0;3030;1
data,1214863200000,0;16818;1
data,1214863200000,1;2137;1
data,1259622000000,1;14646;1
data,1177970400000,1;15955;1
data,1291158000000,1;1046;1
data,1238536800000,1;8382;1
data,1280613600000,1;493;2
data,1254348000000,1;7099;2
data,1264978800000,1;1866;3
data,1209592800000,1;2614;3
data,1285884000000,1;6186;3
data,1249077600000,1;6139;3
data,1180648800000,1;8123;3
data,1304600809888,1;513;3
data,1217541600000,1;7889;3
data,1209592800000,1;2266;3
data,1304667929964,2;193;3
data,1264978800000,2;6296;4
data,1217541600000,2;11054;4
data,1230764400000,2;15869;4
data,1180648800000,2;11302;4
data,1241128800000,2;3415;4
data,1275343200000,2;1299;4
data,1296514800000,2;4469;4
data,1275343200000,2;1603;4
data,1212271200000,2;1390;5
data,1254348000000,2;3068;6
data,1162335600000,2;6446;6
data,1277935200000,2;173;6
data,1270072800000,2;10581;6
data,1262300400000,2;229;7
data,1249077600000,2;425;7
data,1254348000000,2;11742;7
data,1175378400000,2;11822;7
data,1291158000000,2;6546;7
data,1196463600000,2;2597;7
data,1262300400000,2;12392;7
data,1185919200000,2;2828;7
data,1285884000000,2;15935;7
data,1304598164008,2;11640;7
data,1267398000000,2;4738;7
data,1280613600000,3;230;8
data,1293836400000,3;3040;8
data,1259622000000,3;9416;8
data,1267398000000,3;9868;8
data,1188597600000,3;1899;8
data,1304700094346,3;18599;8
data,1259622000000,3;6639;8
data,1283292000000,3;652;8
data,1283292000000,3;16906;8
data,1214863200000,3;15272;8
data,1283292000000,3;18208;8
data,1257030000000,3;10839;8
data,1180648800000,3;12033;8
data,1175378400000,3;429;8
data,1283292000000,3;2437;8
data,1209592800000,3;3056;8
data,1298934000000,3;1046;8
data,1275343200000,3;15446;8
data,1191189600000,3;190;9
data,1304936927650,3;13039;9
data,1207000800000,3;16582;9
data,1222812000000,3;5044;9
data,1275343200000,3;4604;9
data,1204326000000,3;10976;9
data,1164927600000,3;16582;9
data,1212271200000,3;15375;9
data,1264978800000,3;6140;9
data,1257030000000,3;14288;9
data,1272664800000,3;5030;10
data,1246399200000,3;919;10
data,1214863200000,3;1116;10
data,1233442800000,3;4820;10
data,1183240800000,3;6081;10
data,1201820400000,3;12292;10
data,1243807200000,3;14238;10
data,1298934000000,3;416;10
data,1235862000000,3;857;10
data,1185919200000,3;11577;10
data,1249077600000,3;8835;10
data,1207000800000,4;12148;10
data,1267398000000,4;6009;10
data,1183240800000,4;12202;10
data,1280613600000,4;5937;10
data,1233442800000,4;7643;10
data,1162335600000,4;6450;10
data,1212271200000,4;501;11
data,1249077600000,4;2715;11
data,1262300400000,4;11623;11
data,1298934000000,4;3331;11
data,1193871600000,4;13214;11
data,1270072800000,4;3456;11
data,1259622000000,4;846;11
data,1257030000000,4;17559;11
data,1291158000000,4;16150;11
data,1262300400000,4;9336;11
data,1164927600000,4;2479;11
data,1193871600000,4;9259;11
data,1196463600000,4;6955;11
data,1249077600000,4;808;11
data,1283292000000,4;17880;11
data,1193871600000,4;10810;11
data,1146434400000,4;4472;11
data,1185919200000,4;18532;11
data,1204326000000,4;4821;11
data,1204326000000,4;2996;11
data,1270072800000,4;5363;11
data,1249077600000,5;13533;11
data,1230764400000,5;10899;11
data,1291158000000,5;8684;11
data,1220220000000,5;1675;11
data,1283292000000,5;11046;11
data,1280613600000,5;3596;11
data,1220220000000,5;2006;11
data,1228086000000,5;6196;11
data,1228086000000,5;13419;11
data,1296514800000,5;12639;11
data,1217541600000,5;13454;11
data,1230764400000,5;16049;11
data,1259622000000,5;13638;11
data,1209592800000,5;198;11
data,1238536800000,5;11055;11
data,1235862000000,5;12917;11
data,1196463600000,5;10252;11
data,1212271200000,5;989;11
data,1246399200000,5;3751;11
data,1220220000000,5;5288;11
data,1162335600000,5;14476;11
data,1230764400000,5;15189;11
data,1183240800000,5;16521;11
data,1272664800000,5;383;11
data,1162335600000,5;861;11
data,1304599045883,5;17473;11
data,1162335600000,5;13039;11
data,1241128800000,5;4835;11
data,1212271200000,5;1605;11
data,1183240800000,5;11829;11
data,1246399200000,5;5288;11
data,1291158000000,5;10572;11
data,1285884000000,5;12033;11
data,1214863200000,5;5171;11
data,1283292000000,5;13139;11
data,1146434400000,5;12788;11
data,1243807200000,5;7358;11
data,1159653600000,5;4047;11
data,1183240800000,5;13548;11
data,1212271200000,5;16222;11
data,1222812000000,5;8401;11
data,1146434400000,5;56;11
data,1277935200000,5;15115;11
data,1275343200000,6;12903;11
data,1293836400000,6;9966;11
data,1214863200000,6;4087;11
data,1212271200000,6;8482;11
data,1146434400000,6;6546;11
data,1288566000000,6;10252;11
data,1217541600000,6;14950;11
data,1185919200000,6;16540;11
data,1267398000000,6;1951;11
data,1283292000000,6;12903;11
data,1209592800000,6;154;12
data,1220220000000,6;2420;12
data,1217541600000,6;10220;12
data,1133391600000,6;545;12
data,1230764400000,6;4673;12
data,1241128800000,6;1151;12
data,1270072800000,6;6347;12
data,1228086000000,6;4792;12
data,1272664800000,6;17234;12
data,1209592800000,6;13526;12
data,1214863200000,6;668;12
data,1251756000000,6;3751;12
data,1283292000000,6;17372;12
data,1199142000000,6;16626;12
data,1304934672165,6;2666;12
data,1222812000000,6;2855;12
data,1285884000000,6;3667;12
data,1288566000000,6;7511;12
data,1214863200000,6;6627;12
data,1183240800000,6;16007;12
data,1270072800000,6;6347;12
data,1254348000000,6;10581;12
data,1222812000000,6;3122;12
data,1228086000000,7;12705;13
data,1225494000000,7;1239;13
data,1264978800000,7;11891;13
data,1238536800000,7;9466;13
data,1304677107571,7;11891;13
data,1275343200000,7;16706;13
data,1238536800000,7;8595;13
data,1185919200000,7;2346;13
data,1201820400000,7;1187;13
data,1185919200000,7;17872;13
data,1167606000000,7;193;14
data,1249077600000,7;1463;14
data,1288566000000,7;5639;14
data,1283292000000,7;2715;14
data,1277935200000,7;4180;15
data,1180648800000,7;17308;15
data,1249077600000,7;14476;15
data,1272664800000,7;9232;15
data,1212271200000,7;12788;15
data,1296514800000,7;622;16
data,1298934000000,7;14687;16
data,1154383200000,7;18509;16
data,1254348000000,7;8482;16
data,1201820400000,7;858;17
data,1272664800000,7;5171;17
data,1283292000000,7;14032;17
data,1209592800000,7;1899;17
data,1238536800000,7;11998;18
data,1304682198720,7;5302;18
data,1209592800000,7;18084;18
data,1285884000000,7;12105;18
data,1214863200000,7;4784;18
data,1235862000000,7;6781;18
data,1293836400000,7;16531;18
data,1233442800000,7;3851;18
data,1217541600000,7;14623;18
data,1272664800000,7;7352;19
data,1277935200000,7;18573;19
data,1304700079964,7;14139;19
data,1225494000000,7;1962;19
data,1212271200000,7;5476;19
data,1277935200000,7;1976;19
data,1204326000000,7;10555;19
data,1280613600000,7;13129;19
data,1270072800000,7;2277;20
data,1180648800000,7;1110;20
data,1298934000000,7;14791;20
data,1222812000000,7;14498;20
data,1238536800000,7;706;21
data,1246399200000,7;10806;21
data,1285884000000,7;229;21
data,1280613600000,7;13407;21
data,1283292000000,7;11701;21
data,1238536800000,7;8880;21
data,1149112800000,7;429;22
data,1298934000000,7;15498;22
data,1277935200000,7;17094;22
data,1257030000000,7;12105;22
data,1154383200000,7;18565;22
data,1262300400000,7;14956;22
data,1201820400000,7;12202;22
data,1172703600000,7;13915;22
data,1291158000000,7;16188;22
data,1143842400000,7;16271;22
data,1293836400000,7;16502;22
data,1257030000000,7;13528;22
data,1177970400000,7;14257;22
data,1249077600000,7;11046;22
data,1246399200000,7;13645;22
data,1172703600000,7;12998;22
data,1201820400000,7;11075;22
data,1249077600000,7;6289;22
data,1230764400000,7;808;23
data,1246399200000,7;3364;23
data,1175378400000,7;14950;23
data,1267398000000,7;11508;23
data,1175378400000,7;15183;23
data,1199142000000,7;17589;23
data,1220220000000,7;16708;23
data,1267398000000,7;10220;23
data,1298934000000,7;513;23
data,1122847200000,7;472;23
data,1141167600000,7;5040;23
data,1185919200000,7;943;23
data,1257030000000,7;1814;23
data,1207000800000,7;13619;23
data,1267398000000,7;190;24
data,1264978800000,7;8417;24
data,1217541600000,8;14807;24
data,1267398000000,8;1171;24
data,1285884000000,8;16852;25
data,1277935200000,8;4613;25
data,1246399200000,8;4168;25
data,1259622000000,8;6196;25
data,1233442800000,8;7835;25
data,1285884000000,8;8627;25
data,1228086000000,8;424;25
data,1270072800000,8;143;25
data,1246399200000,8;8905;25
data,1204326000000,8;17619;25
data,1270072800000,8;1118;25
data,1225494000000,8;6299;25
data,1291158000000,8;2187;25
data,1254348000000,9;8925;25
data,1222812000000,9;4218;25
data,1251756000000,9;2069;25
data,1201820400000,9;11982;25
data,1243807200000,9;9063;25
data,1212271200000,9;14288;25
data,1228086000000,9;4670;25
data,1304607873055,9;668;25
data,1291158000000,9;7334;25
data,1196463600000,9;826;25
data,1159653600000,9;8175;25
data,1296514800000,9;7511;25
data,1151704800000,9;15869;25
data,1177970400000,9;6139;25
data,1241128800000,9;3768;26
data,1288566000000,9;6325;26
data,1254348000000,9;9;26
data,1230764400000,9;6958;26
data,1214863200000,9;2420;26
data,1207000800000,9;3075;26
data,1264978800000,9;6165;26
data,1201820400000,9;10948;26
data,1304677196603,9;609;26
data,1164927600000,9;15498;26
data,1193871600000,9;10283;26
data,1262300400000,9;6634;26
data,1183240800000,9;14444;26
data,1254348000000,9;15566;26
data,1164927600000,9;716;26
data,1207000800000,9;12067;26
data,1251756000000,9;857;26
data,1246399200000,9;12124;26
data,1225494000000,9;1988;26
data,1199142000000,9;3027;26
data,1201820400000,9;5867;26
data,1280613600000,9;11703;26
data,1175378400000,9;4877;27
data,1296514800000,9;2434;27
data,1172703600000,9;18142;27
data,1280613600000,9;12067;27
data,1285884000000,9;11703;27
data,1164927600000,9;11973;27
data,1167606000000,9;5100;27
data,1280613600000,9;8660;27
data,1199142000000,9;88;27
data,1241128800000,9;191;27
data,1249077600000,9;5628;27
data,1270072800000,9;11122;27
data,1257030000000,9;5153;27
data,1293836400000,9;18541;27
data,1304607127720,9;10050;27
data,1267398000000,9;6324;27
data,1270072800000,9;2619;27
data,1264978800000,9;14367;27
data,1254348000000,9;13139;27
data,1249077600000,9;4681;27
data,1262300400000,9;11547;27
data,1291158000000,9;4497;27
data,1257030000000,9;425;28
data,1175378400000,9;7903;28
data,1212271200000,9;10500;28
data,1288566000000,9;188;28
data,1201820400000,9;190;28
data,1304690624176,9;7007;28
data,1175378400000,9;4836;28
data,1304608259002,9;14851;28
data,1270072800000,10;2229;28
data,1209592800000,10;18077;28
data,1288566000000,10;12410;28
data,1277935200000,10;17907;28
data,1212271200000,10;14002;28
data,1196463600000,10;15591;28
data,1296514800000,10;7713;28
