
New Run at  07/20/2016 19:55:51
, Time, RandomReward; LearnWReward
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,0;8044;0
data,1254348000000,0;13234;0
data,1254348000000,0;16401;0
data,1246399200000,0;15599;0
data,1149112800000,0;6632;0
data,1298934000000,0;652;0
data,1220220000000,0;16852;0
data,1270072800000,0;14238;0
data,1254348000000,0;5558;0
data,1122847200000,0;755;0
data,1277935200000,0;4822;0
data,1175378400000,1;2125;0
data,1193871600000,1;5735;0
data,1267398000000,1;1011;0
data,1199142000000,1;17399;0
data,1246399200000,1;5691;1
data,1280613600000,1;18565;1
data,1283292000000,1;12619;1
data,1212271200000,1;18208;1
data,1230764400000,1;2598;1
data,1267398000000,1;2135;1
data,1225494000000,1;15869;1
data,1293836400000,1;3030;1
data,1214863200000,1;16818;1
data,1214863200000,1;2137;1
data,1259622000000,1;14646;1
data,1177970400000,1;15955;1
data,1291158000000,1;1046;1
data,1238536800000,2;8382;1
data,1280613600000,2;493;2
data,1254348000000,2;7099;2
data,1264978800000,2;1866;3
data,1209592800000,2;2614;3
data,1285884000000,2;6186;3
data,1249077600000,2;179;3
data,1180648800000,2;8123;3
data,1304600809888,2;513;3
data,1217541600000,2;7889;3
data,1209592800000,2;2266;3
data,1304667929964,2;193;3
data,1264978800000,2;6296;4
data,1217541600000,2;11054;4
data,1230764400000,2;15869;4
data,1180648800000,2;11302;4
data,1241128800000,2;3415;4
data,1275343200000,2;1299;4
data,1296514800000,2;4469;4
data,1275343200000,2;945;5
data,1212271200000,2;1390;6
data,1254348000000,2;3068;7
data,1162335600000,2;10810;7
data,1277935200000,2;173;7
data,1270072800000,2;10581;7
data,1262300400000,2;229;8
data,1249077600000,2;425;8
data,1254348000000,2;11742;8
data,1175378400000,2;11822;8
data,1291158000000,2;6546;8
data,1196463600000,3;2597;8
data,1262300400000,3;12392;8
data,1185919200000,3;2828;8
data,1285884000000,3;15935;8
data,1304598164008,3;11640;8
data,1267398000000,3;4738;8
data,1280613600000,3;230;9
data,1293836400000,3;3040;9
data,1259622000000,4;9416;9
data,1267398000000,4;9868;9
data,1188597600000,4;1899;9
data,1304700094346,4;18599;9
data,1259622000000,4;6639;9
data,1283292000000,5;652;9
data,1283292000000,5;16906;9
data,1214863200000,5;17380;9
data,1283292000000,5;18208;9
data,1257030000000,5;10839;9
data,1180648800000,5;12033;9
data,1175378400000,5;429;9
data,1283292000000,5;2469;9
data,1209592800000,5;3056;9
data,1298934000000,5;3259;9
data,1275343200000,5;15446;9
data,1191189600000,5;3382;9
data,1304936927650,5;13039;9
data,1207000800000,5;16582;9
data,1222812000000,5;5044;9
data,1275343200000,5;300;10
data,1204326000000,5;3259;10
data,1164927600000,5;16582;10
data,1212271200000,5;15375;10
data,1264978800000,5;6140;10
data,1257030000000,5;14288;10
data,1272664800000,5;5030;11
data,1246399200000,5;919;11
data,1214863200000,5;1116;11
data,1233442800000,5;4820;11
data,1183240800000,5;6081;11
data,1201820400000,5;12292;11
data,1243807200000,5;14238;11
data,1298934000000,5;2118;11
data,1235862000000,5;857;11
data,1185919200000,5;11577;11
data,1249077600000,5;8835;11
data,1207000800000,5;12148;11
data,1267398000000,5;3707;11
data,1183240800000,5;12202;11
data,1280613600000,5;5937;11
data,1233442800000,5;7643;11
data,1162335600000,5;6450;11
data,1212271200000,5;12369;11
data,1249077600000,5;2715;11
data,1262300400000,5;11623;11
data,1298934000000,5;3331;11
data,1193871600000,5;13214;11
data,1270072800000,5;735;12
data,1259622000000,5;846;12
data,1257030000000,5;17559;12
data,1291158000000,5;16150;12
data,1262300400000,5;9336;12
data,1164927600000,5;2479;12
data,1193871600000,5;9259;12
data,1196463600000,5;6955;12
data,1249077600000,5;808;12
data,1283292000000,5;9261;12
data,1193871600000,5;10810;12
data,1146434400000,5;4472;12
data,1185919200000,5;18532;12
data,1204326000000,5;4821;12
data,1204326000000,5;2996;12
data,1270072800000,5;5363;12
data,1249077600000,5;14144;12
data,1230764400000,5;15599;12
data,1291158000000,6;8684;12
data,1220220000000,6;1675;12
data,1283292000000,6;11046;12
data,1280613600000,6;3596;12
data,1220220000000,6;2006;12
data,1228086000000,6;6196;12
data,1228086000000,6;13419;12
data,1296514800000,6;637;12
data,1217541600000,6;13454;12
data,1230764400000,6;6262;12
data,1259622000000,6;13638;12
data,1209592800000,6;198;12
data,1238536800000,6;11055;12
data,1235862000000,6;7076;12
data,1196463600000,6;18629;12
data,1212271200000,6;7428;12
data,1246399200000,6;3751;12
data,1220220000000,6;5288;12
data,1162335600000,6;7074;12
data,1230764400000,6;15189;12
data,1183240800000,6;16521;12
data,1272664800000,6;14250;12
data,1162335600000,6;861;12
data,1304599045883,6;10050;12
data,1162335600000,6;4099;12
data,1241128800000,6;4835;12
data,1212271200000,6;1605;12
data,1183240800000,6;11829;12
data,1246399200000,6;5288;12
data,1291158000000,6;10572;12
data,1285884000000,6;12033;12
data,1214863200000,6;2792;12
data,1283292000000,6;13139;12
data,1146434400000,6;8044;12
data,1243807200000,6;302;13
data,1159653600000,6;13744;13
data,1183240800000,6;13548;13
data,1212271200000,6;16222;13
data,1222812000000,6;8401;13
data,1146434400000,6;4346;13
data,1277935200000,6;15115;13
data,1275343200000,6;12903;13
data,1293836400000,6;9966;13
data,1214863200000,6;4087;13
data,1212271200000,6;8482;13
data,1146434400000,7;6546;13
data,1288566000000,7;10252;13
data,1217541600000,7;9232;13
data,1185919200000,7;16540;13
data,1267398000000,7;1951;13
data,1283292000000,7;15370;13
data,1209592800000,7;5920;13
data,1220220000000,7;2420;13
data,1217541600000,7;10220;13
data,1133391600000,7;2638;13
data,1230764400000,7;1360;13
data,1241128800000,7;1151;13
data,1270072800000,7;6347;13
data,1228086000000,7;4792;13
data,1272664800000,7;17234;13
data,1209592800000,8;13526;13
data,1214863200000,8;2582;13
data,1251756000000,8;1187;13
data,1283292000000,8;16188;13
data,1199142000000,8;16626;13
data,1304934672165,8;11238;13
data,1222812000000,8;2855;13
data,1285884000000,8;2183;14
data,1288566000000,9;7511;14
data,1214863200000,10;7074;14
data,1183240800000,10;3556;14
data,1270072800000,10;11174;14
data,1254348000000,10;4751;14
data,1222812000000,10;3122;14
data,1228086000000,10;12705;15
data,1225494000000,10;1239;15
data,1264978800000,10;11891;15
data,1238536800000,10;690;15
data,1304677107571,10;533;15
data,1275343200000,10;4862;15
data,1238536800000,10;6523;15
data,1185919200000,10;2346;15
data,1201820400000,10;220;15
data,1185919200000,10;1580;15
data,1167606000000,10;193;16
data,1249077600000,11;75;16
data,1288566000000,11;1031;16
data,1283292000000,11;2715;16
data,1277935200000,11;4180;17
data,1180648800000,11;1412;18
data,1249077600000,11;2013;18
data,1272664800000,11;2408;18
data,1212271200000,11;12788;18
data,1296514800000,11;622;19
data,1298934000000,11;14687;19
data,1154383200000,11;4321;19
data,1254348000000,11;2633;19
data,1201820400000,11;858;20
data,1272664800000,11;5171;20
data,1283292000000,11;14032;20
data,1209592800000,11;4125;20
data,1238536800000,11;11998;21
data,1304682198720,11;554;21
data,1209592800000,11;342;22
data,1285884000000,11;12105;22
data,1214863200000,11;2025;22
data,1235862000000,11;6781;22
data,1293836400000,11;496;22
data,1233442800000,11;3851;22
data,1217541600000,11;10640;22
data,1272664800000,11;7352;23
data,1277935200000,11;227;24
data,1304700079964,11;4031;24
data,1225494000000,11;1962;24
data,1212271200000,11;5476;24
data,1277935200000,11;1976;24
data,1204326000000,11;785;24
data,1280613600000,11;3706;24
data,1270072800000,11;2277;25
data,1180648800000,11;1110;25
data,1298934000000,11;333;25
data,1222812000000,11;14498;25
data,1238536800000,12;3068;25
data,1246399200000,12;2554;25
data,1285884000000,12;229;25
data,1280613600000,12;13407;25
data,1283292000000,12;11701;25
data,1238536800000,12;8880;25
data,1149112800000,12;429;26
data,1298934000000,12;7188;26
data,1277935200000,12;15296;26
data,1257030000000,12;10909;26
data,1154383200000,12;18565;26
data,1262300400000,12;7068;26
data,1201820400000,12;951;26
data,1172703600000,12;5048;26
data,1291158000000,12;217;26
data,1143842400000,12;1412;27
data,1293836400000,12;7054;27
data,1257030000000,12;13528;27
data,1177970400000,12;14257;27
data,1249077600000,12;11046;27
data,1246399200000,12;13645;27
data,1172703600000,12;979;28
data,1201820400000,12;11286;28
data,1249077600000,12;6289;28
data,1230764400000,12;997;28
data,1246399200000,12;18350;28
data,1175378400000,12;2571;28
data,1267398000000,12;18009;28
data,1175378400000,12;15183;28
data,1199142000000,12;6165;29
data,1220220000000,12;16708;29
data,1267398000000,12;4261;29
data,1298934000000,12;513;29
data,1122847200000,12;7859;29
data,1141167600000,12;2794;29
data,1185919200000,12;14646;29
data,1257030000000,12;1814;29
data,1207000800000,12;1034;29
data,1267398000000,12;1573;29
data,1264978800000,12;2351;29
data,1217541600000,12;715;30
data,1267398000000,12;2786;30
data,1285884000000,12;229;30
data,1277935200000,12;16139;30
data,1246399200000,12;2853;30
data,1259622000000,12;9977;30
data,1233442800000,12;7835;30
data,1285884000000,12;10069;30
data,1228086000000,12;424;30
data,1270072800000,12;2456;30
data,1246399200000,12;5165;30
data,1204326000000,13;2013;30
data,1270072800000,13;7054;30
data,1225494000000,13;6299;30
data,1291158000000,13;525;30
data,1254348000000,13;8925;30
data,1222812000000,14;8646;30
data,1251756000000,14;6883;30
data,1201820400000,14;8676;30
data,1243807200000,14;3082;30
data,1212271200000,14;7898;30
data,1228086000000,14;1372;30
data,1304607873055,14;959;31
data,1291158000000,14;4880;31
data,1196463600000,14;17534;31
data,1159653600000,14;12918;31
data,1296514800000,14;7511;31
data,1151704800000,14;2854;31
data,1177970400000,14;6139;31
data,1241128800000,14;3768;32
data,1288566000000,14;868;33
data,1254348000000,14;9;33
data,1230764400000,14;4707;33
data,1214863200000,14;2792;33
data,1207000800000,14;3075;33
data,1264978800000,14;6165;33
data,1201820400000,14;2666;33
data,1304677196603,14;609;33
data,1164927600000,14;5153;33
data,1193871600000,14;1043;33
data,1262300400000,14;1369;33
data,1183240800000,14;15135;33
data,1254348000000,14;562;34
data,1164927600000,14;716;34
data,1207000800000,14;16148;34
data,1251756000000,14;857;34
data,1246399200000,14;12124;34
data,1225494000000,14;2898;34
data,1199142000000,14;1892;34
data,1201820400000,14;11174;34
data,1280613600000,14;10909;34
data,1175378400000,14;15752;34
data,1296514800000,14;2434;34
data,1172703600000,14;18142;34
data,1280613600000,14;2839;34
data,1285884000000,14;8093;34
data,1164927600000,14;1672;35
data,1167606000000,14;5100;35
data,1280613600000,14;5550;35
data,1199142000000,14;217;35
data,1241128800000,14;191;35
data,1249077600000,14;1185;35
data,1270072800000,14;11122;35
data,1257030000000,14;2380;35
data,1293836400000,14;4793;35
data,1304607127720,14;207;35
data,1267398000000,14;2834;36
data,1270072800000,14;2619;36
data,1264978800000,14;750;36
data,1254348000000,14;7042;36
data,1249077600000,14;432;36
data,1262300400000,14;2666;36
data,1291158000000,14;12835;36
data,1257030000000,14;425;37
data,1175378400000,14;4751;37
data,1212271200000,14;10500;37
data,1288566000000,14;805;38
data,1201820400000,14;190;38
data,1304690624176,14;7007;38
data,1175378400000,14;4836;38
data,1304608259002,14;17139;38
data,1270072800000,14;14569;38
data,1209592800000,14;6132;38
data,1288566000000,14;12410;38
data,1277935200000,14;730;39
data,1212271200000,14;14002;39
data,1196463600000,14;14930;39
data,1296514800000,14;230;39
data,1222812000000,14;3758;39
data,1249077600000,14;441;40
data,1164927600000,14;3481;41
