
NewRunat  10/10/2015 12:37:10
,Time,RandomCTR;CoLinCTR;accesses;click 
data,1241161200,0.0315;0.0322580645161;93.0;3.0
data,1241161200,0.03225;0.021164021164;189.0;4.0
data,1241161200,0.0326666666667;0.0236486486486;296.0;7.0
data,1241161200,0.032125;0.02457002457;407.0;10.0
data,1241161500,0.031;0.0199203187251;502.0;10.0
data,1241161500,0.0318333333333;0.0221088435374;588.0;13.0
data,1241161500,0.0316428571429;0.0231213872832;692.0;16.0
data,1241161800,0.03125;0.0238993710692;795.0;19.0
data,1241161800,0.0309444444444;0.0257270693512;894.0;23.0
data,1241161800,0.0304;0.0242669362993;989.0;24.0
data,1241161800,0.0309545454545;0.0249768732655;1081.0;27.0
data,1241162100,0.0310833333333;0.025466893039;1178.0;30.0
data,1241162100,0.0311923076923;0.0249027237354;1285.0;32.0
data,1241162100,0.03125;0.0244428468728;1391.0;34.0
data,1241162400,0.0305;0.023777173913;1472.0;35.0
data,1241162400,0.0303125;0.0249201277955;1565.0;39.0
data,1241162400,0.0297058823529;0.0240818783865;1661.0;40.0
data,1241162700,0.02975;0.0232690124858;1762.0;41.0
data,1241162700,0.0299210526316;0.0242587601078;1855.0;45.0
data,1241162700,0.0302;0.0250639386189;1955.0;49.0
data,1241163000,0.0302142857143;0.0261083743842;2030.0;53.0
data,1241163000,0.0300454545455;0.0255077940482;2117.0;54.0
data,1241163000,0.0298695652174;0.0256179775281;2225.0;57.0
data,1241163300,0.0296041666667;0.0250648228176;2314.0;58.0
data,1241163300,0.02946;0.0272614622057;2421.0;66.0
data,1241163300,0.0294615384615;0.0289912629071;2518.0;73.0
data,1241163600,0.0293148148148;0.0284629981025;2635.0;75.0
data,1241163600,0.0291785714286;0.027332361516;2744.0;75.0
data,1241163600,0.0291379310345;0.0268646164723;2829.0;76.0
data,1241163600,0.0292833333333;0.0282793867121;2935.0;83.0
data,1241163900,0.0292419354839;0.0282430213465;3045.0;86.0
data,1241163900,0.029375;0.0282450015868;3151.0;89.0
data,1241163900,0.0292727272727;0.0282208588957;3260.0;92.0
data,1241164200,0.0290588235294;0.0277280858676;3354.0;93.0
data,1241164200,0.0289428571429;0.0278180237612;3451.0;96.0
data,1241164200,0.0288194444444;0.0280977802754;3559.0;100.0
data,1241164500,0.0286486486486;0.0273897562312;3651.0;100.0
data,1241164500,0.02875;0.0282515991471;3752.0;106.0
data,1241164500,0.0286538461538;0.0276257492833;3837.0;106.0
data,1241164800,0.028625;0.0281083818688;3949.0;111.0
data,1241164800,0.0284268292683;0.0280049566295;4035.0;113.0
data,1241164800,0.0283452380952;0.0283224400871;4131.0;117.0
data,1241165100,0.0282441860465;0.0290162774239;4239.0;123.0
data,1241165100,0.0282727272727;0.0291194823203;4327.0;126.0
data,1241165100,0.0283555555556;0.0293255131965;4433.0;130.0
data,1241165400,0.0284239130435;0.0296657073279;4517.0;134.0
data,1241165400,0.0282872340426;0.0299739357081;4604.0;138.0
data,1241165700,0.0283020833333;0.0298062593145;4697.0;140.0
data,1241165700,0.028112244898;0.0294855708908;4782.0;141.0
data,1241165700,0.02807;0.028740317978;4906.0;141.0
data,1241166000,0.0279705882353;0.0287712287712;5005.0;144.0
data,1241166000,0.0279711538462;0.0290196078431;5100.0;148.0
data,1241166000,0.0280471698113;0.0295812524011;5206.0;154.0
data,1241166300,0.0280185185185;0.0301886792453;5300.0;160.0
data,1241166300,0.0279272727273;0.030258302583;5420.0;164.0
data,1241166300,0.0278660714286;0.0304237595074;5522.0;168.0
data,1241166600,0.027798245614;0.0304975922953;5607.0;171.0
data,1241166600,0.0277586206897;0.0298742138365;5724.0;171.0
data,1241166600,0.0276949152542;0.0301163586585;5844.0;176.0
data,1241166900,0.0276083333333;0.0296946178505;5927.0;176.0
data,1241166900,0.0274672131148;0.0293922284955;6022.0;177.0
data,1241166900,0.0274193548387;0.0290849673203;6120.0;178.0
data,1241167200,0.0273492063492;0.0294023136247;6224.0;183.0
data,1241167200,0.027296875;0.029244388239;6326.0;185.0
data,1241167500,0.0273;0.0293706293706;6435.0;189.0
data,1241167500,0.0272803030303;0.0291736673285;6547.0;191.0
data,1241167500,0.0272835820896;0.0293100856756;6653.0;195.0
data,1241167800,0.0273014705882;0.0293681400178;6742.0;198.0
data,1241167800,0.0272826086957;0.0293345008757;6852.0;201.0
data,1241167800,0.0272928571429;0.029720028715;6965.0;207.0
data,1241168100,0.0273028169014;0.0293992932862;7075.0;208.0
data,1241168100,0.0272638888889;0.029374912989;7183.0;211.0
data,1241168100,0.0272465753425;0.0291448996426;7274.0;212.0
data,1241168400,0.0272364864865;0.0289698118316;7387.0;214.0
data,1241168400,0.02722;0.0289951897381;7484.0;217.0
data,1241168400,0.0272171052632;0.0287447257384;7584.0;218.0
data,1241168700,0.0272857142857;0.0286757038582;7672.0;220.0
data,1241168700,0.02725;0.0290750032163;7773.0;226.0
data,1241169000,0.027253164557;0.0289597358059;7873.0;228.0
data,1241169000,0.027125;0.0287183345874;7974.0;229.0
data,1241169000,0.0270555555556;0.0286849621259;8053.0;231.0
data,1241169300,0.0270365853659;0.0283965728274;8170.0;232.0
data,1241169300,0.0269578313253;0.0282116478993;8259.0;233.0
data,1241169300,0.0270178571429;0.0287494010541;8348.0;240.0
data,1241169600,0.0269588235294;0.0287403903016;8455.0;243.0
data,1241169600,0.0269534883721;0.0288888888889;8550.0;247.0
data,1241169600,0.026908045977;0.0287661737523;8656.0;249.0
data,1241169900,0.0269034090909;0.0287086812307;8743.0;251.0
data,1241169900,0.0269101123596;0.0289167513837;8853.0;256.0
data,1241169900,0.0268888888889;0.0290567724631;8948.0;260.0
data,1241170200,0.0268736263736;0.0289502762431;9050.0;262.0
data,1241170200,0.0268804347826;0.0292608363358;9159.0;268.0
data,1241170200,0.0268709677419;0.0291797254944;9253.0;270.0
data,1241170500,0.0268776595745;0.0291002460683;9347.0;272.0
data,1241170500,0.0269157894737;0.0290820642978;9456.0;275.0
data,1241170500,0.0268385416667;0.0287897822446;9552.0;275.0
data,1241170800,0.0268556701031;0.0288321924912;9642.0;278.0
data,1241170800,0.0268673469388;0.0289112159114;9754.0;282.0
data,1241170800,0.0268232323232;0.0290384810641;9849.0;286.0
data,1241171100,0.026875;0.0295299316995;9956.0;294.0
data,1241171100,0.0268366336634;0.029581099861;10074.0;298.0
data,1241171100,0.0268039215686;0.0294695481336;10180.0;300.0
data,1241171400,0.0268009708738;0.0297810218978;10275.0;306.0
data,1241171400,0.0267932692308;0.0297182554998;10364.0;308.0
data,1241171400,0.0267571428571;0.0295608916101;10453.0;309.0
data,1241171400,0.0268066037736;0.0295818716223;10547.0;312.0
data,1241171700,0.0268785046729;0.0296247531271;10633.0;315.0
data,1241171700,0.0268333333333;0.0294938593227;10748.0;317.0
data,1241171700,0.0268165137615;0.0296610169492;10856.0;322.0
data,1241172000,0.0268181818182;0.0296957551467;10978.0;326.0
data,1241172000,0.0267972972973;0.0298022216202;11073.0;330.0
data,1241172000,0.0268258928571;0.0299015219338;11170.0;334.0
data,1241172300,0.0268584070796;0.0300638524299;11276.0;339.0
data,1241172300,0.0268640350877;0.0301564972745;11374.0;343.0
data,1241172300,0.0268869565217;0.0301840704877;11463.0;346.0
data,1241172300,0.0269267241379;0.0303161167732;11578.0;351.0
data,1241172600,0.0269358974359;0.0303056245184;11681.0;354.0
data,1241172600,0.0269830508475;0.0301281507256;11783.0;355.0
data,1241172600,0.027012605042;0.0301477997985;11908.0;359.0
data,1241172900,0.0270333333333;0.0299500831947;12020.0;360.0
data,1241172900,0.0270578512397;0.0302755320904;12122.0;367.0
data,1241172900,0.0270655737705;0.030124426981;12216.0;368.0
data,1241172900,0.0270853658537;0.0301234166937;12316.0;371.0
data,1241173200,0.0270927419355;0.0301956679282;12419.0;375.0
data,1241173200,0.02712;0.0304459005913;12514.0;381.0
data,1241173200,0.027119047619;0.0304233854953;12589.0;383.0
data,1241173200,0.0271181102362;0.0302002838669;12682.0;383.0
data,1241173500,0.0271171875;0.0302769519637;12782.0;387.0
data,1241173500,0.0271356589147;0.0304489669101;12874.0;392.0
data,1241173500,0.0271423076923;0.0302072898205;12977.0;392.0
data,1241173500,0.0272099236641;0.0303007116076;13069.0;396.0
data,1241173800,0.02725;0.030293827348;13171.0;399.0
data,1241173800,0.0272556390977;0.0302230931565;13268.0;401.0
data,1241173800,0.0272425373134;0.0301101041121;13351.0;402.0
data,1241173800,0.0272703703704;0.0301858736059;13450.0;406.0
data,1241174100,0.0272941176471;0.0303857216609;13559.0;412.0
data,1241174100,0.0273284671533;0.0302897278314;13668.0;414.0
data,1241174100,0.0273405797101;0.0304132712456;13744.0;418.0
data,1241174100,0.027381294964;0.0303074036658;13858.0;420.0
data,1241174400,0.027425;0.0303573991675;13934.0;423.0
